Raw timestamp;hhmmss;Relativeseconds;Rawaltitudeft;Interpolated;Altitudem
690720200953.16;200953;-;43753.45;43753;14897
690720200955.16;200955;2;41897.57;41898;14265
690720200957.16;200957;4;41144.20;41144;14009
690720200959.16;200959;6;38325.55;38326;13049
690720201001.16;201001;8;39005.85;39006;13281
690720201003.16;201003;10;38671.36;38671;13167
690720201005.16;201005;12;38520.30;38520;13115
690720201007.16;201007;14;38444.77;38445;13090
690720201009.16;201009;16;37781.19;37781;12864
690720201011.16;201011;18;37473.67;37474;12759
690720201013.16;201013;20;37295.64;37296;12698
690720201015.16;201015;22;37284.85;37285;12695
690720201017.16;201017;24;36594.29;36594;12460
690720201019.16;201019;26;36480.99;36481;12421
690720201021.16;201021;28;36480.99;36481;12421
690720201025.16;201025;32;35666.35;35666;12144
690720201027.16;201027;34;35785.04;35785;12184
690720201029.16;201029;36;35191.58;35192;11982
690720201031.16;201031;38;34862.49;34862;11870
690720201033.16;201033;40;34867.89;34868;11872
690720201035.16;201035;42;34511.81;34512;11751
690720201037.16;201037;44;34290.62;34291;11675
690720201039.16;201039;46;33195.44;33195;11302
690720201041.16;201041;48;33119.92;33120;11277
690720201043.16;201043;50;33087.54;33088;11266
690720201045.16;201045;52;32245.92;32246;10979
690720201047.16;201047;54;31733.39;31733;10805
690720201049.16;201049;56;31560.75;31561;10746
690720201051.16;201051;58;30800.06;30800;10487
690720201053.16;201053;60;30514.12;30514;10389
690720201054.09;201054;61;;30482;10378
690720201055.16;201055;62;30449.38;30449;10367
690720201057.16;201057;64;30109.50;30110;10252
690720201058.18;201058;65;;29710;10116
690720201059.16;201059;66;29311.04;29311;9980
690720201100.25;201100;67;;29098;9907
690720201101.16;201101;68;28884.83;28885;9835
690720201103.16;201103;70;27573.85;27574;9388
690720201105.16;201105;72;28388.49;28388;9666
690720201106.28;201106;73;;28032;9544
690720201107.16;201107;74;27676.35;27676;9423
690720201107.93;201107;74;;27676;9423
690720201109.16;201109;76;27325.68;27326;9304
690720201111.16;201111;78;27309.49;27309;9298
690720201111.96;201111;78;;27309;9298
690720201113.16;201113;80;26921.05;26921;9166
690720201113.96;201113;80;;26921;9166
690720201115.16;201115;82;26726.83;26727;9100
690720201117.16;201117;84;26273.65;26274;8946
690720201117.96;201117;84;;26274;8946
690720201119.16;201119;86;25836.66;25837;8797
690720201119.96;201119;86;;25837;8797
690720201121.16;201121;88;25707.18;25707;8753
690720201123.16;201123;90;25798.88;25799;8784
690720201124.09;201124;91;;25598;8716
690720201125.16;201125;92;25397.95;25398;8647
690720201126.09;201126;93;;25380;8641
690720201127.16;201127;94;25361.90;25362;8635
690720201129.16;201129;96;25016.62;25017;8518
690720201130.06;201130;97;;24822;8452
690720201131.16;201131;98;24628.18;24628;8385
690720201131.93;201131;98;;24628;8385
690720201133.16;201133;100;24487.91;24488;8338
690720201135.16;201135;102;24547.25;24547;8358
690720201135.89;201135;102;;24547;8358
690720201137.16;201137;104;24282.90;24283;8268
690720201137.9;201137;104;;24283;8268
690720201139.16;201139;106;23856.69;23857;8123
690720201139.89;201139;106;;23857;8123
690720201141.16;201141;108;23479.04;23479;7994
690720201141.89;201141;108;;23479;7994
690720201143.16;201143;110;23203.90;23204;7900
690720201143.97;201143;110;;23204;7900
690720201145.16;201145;112;22723.74;22724;7737
690720201145.9;201145;112;;22724;7737
690720201147.16;201147;114;22383.86;22384;7621
690720201147.9;201147;114;;22384;7621
690720201149.16;201149;116;22383.86;22384;7621
690720201149.93;201149;116;;22384;7621
690720201151.16;201151;118;22254.38;22254;7577
690720201151.96;201151;118;;22254;7577
690720201153.16;201153;120;21542.24;21542;7335
690720201153.89;201153;120;;21542;7335
690720201155.16;201155;122;21202.35;21202;7219
690720201155.89;201155;122;;21202;7219
690720201157.16;201157;124;20921.81;20922;7123
690720201157.9;201157;124;;20922;7123
690720201159.16;201159;126;20835.49;20835;7094
690720201159.89;201159;126;;20835;7094
690720201201.16;201201;128;;20488;6976
690720201201.89;201201;128;;20488;6976
690720201203.16;201203;130;20139.54;20140;6857
690720201203.9;201203;130;;20140;6857
690720201205.16;201205;132;19923.74;19924;6784
690720201205.89;201205;132;;19924;6784
690720201207.16;201207;134;19643.20;19643;6688
690720201207.89;201207;134;;19643;6688
690720201209.16;201209;136;19448.08;19448;6622
690720201209.89;201209;136;;19448;6622
690720201211.16;201211;138;19098.30;19098;6503
690720201211.9;201211;138;;19098;6503
690720201213.16;201213;140;18774.60;18775;6392
690720201213.9;201213;140;;18775;6392
690720201215.16;201215;142;18305.24;18305;6233
690720201215.96;201215;142;;18305;6233
690720201217.16;201217;144;17981.54;17982;6122
690720201217.94;201217;144;;17982;6122
690720201219.16;201219;146;17857.45;17857;6080
690720201219.9;201219;146;;17857;6080
690720201221.16;201221;148;17522.96;17523;5966
690720201221.9;201221;148;;17523;5966
690720201223.16;201223;150;17193.87;17194;5854
690720201223.9;201223;150;;17194;5854
690720201225.16;201225;152;16859.38;16859;5740
690720201225.83;201225;152;;16859;5740
690720201227.16;201227;154;16600.42;16600;5652
690720201227.9;201227;154;;16600;5652
690720201229.16;201229;156;16422.38;16422;5591
690720201229.9;201229;156;;16422;5591
690720201231.16;201231;158;16023.15;16023;5456
690720201231.9;201231;158;;16023;5456
690720201233.16;201233;160;15683.27;15683;5340
690720201233.89;201233;160;;15683;5340
690720201235.16;201235;162;15381.15;15381;5237
690720201235.89;201235;162;;15381;5237
690720201237.16;201237;164;15122.19;15122;5149
690720201237.9;201237;164;;15122;5149
