YYMMDDHHMMSS.SSS,XFVX(FPS) INNER (DEG),X,VY (FPS) MIDDLE (DEG),Y,VZ (FPS) OUTER (DEG),Z,RANGE (FT),
690720200953.164125,79.1564941,   79.1564941,     .2746582,     .2746582,28.0261230,   28.026123 ,"43,753.45",1
690720200955.164125,78.9147949,   78.9147949,359.7583008,-     .2416992,20.3796387,   20.3796387,"41,897.57",1
690720200957.164125,78.3654785,   78.3654785,358.9450684,-    1.0549316,12.7001953,   12.7001953,"41,144.20",1
690720200959.164125,77.9589844,   77.9589844,.6701660,     .670166 ,4.9328613,    4.9328613,"38,325.55",1
690720201001.164125,77.8401211,   77.8401211,    1.2744141,    1.2744141,1.2524414,    1.2524414,"39,005.85",1
690720201003.164125,78.0468750,   78.046875 ,    1.1865234,    1.1865234,3.0541982,    3.0541982,"38,671.36",1
690720201005.164125,78.1457520,   78.145752 ,     .1867676,     .1867676,3.6694336,    3.6694336,"38,520.30",1
690720201007.164125,77.9919434,   77.9919434,  358.8782715,-    1.1217285,3.9221191,    3.9221191,"38,444.77",1
690720201009.164125,77.7502441,   77.7502441,  358.8793956,-    1.1206044,4.5593262,    4.5593262,"37,781.19",1
690720201011.164125,77.2558594,   77.2558594,  358.8352051,-    1.1647949,5.2254922,    5.2254922,"37,473.67",1
690720201013.164125,77.9840527,   77.9840527,     .8569336,     .8569336,4.7688664,    4.7688664,"37,295.64",1
690720201015.164125,77.8491211,   77.8491211,    1.2634277,    1.2634277,3.8891602,    3.8891602,"37,284.85",1
690720201017.164125,77.2448730,   77.244873 ,     .6921387,     .6921387,4.2187500,    4.21875  ,"36,594.29",1
690720201019.164125,77.4645996,   77.4645996,     .5603027,     .5603027,5.0207520,    5.020752 ,"36,480.99",1
690720201021.164125,77.3657227,   77.3657227,1.3732910,    1.373291 ,4.9987793,    4.9987793,"36,480.99",1
690720201025.164125,77.1789551,   77.1789551,  358.5958594,-    1.4041406,3.1291172,    3.1291172,"35,666.35",1
690720201027.164125,76.8933195,   76.8933195,  359.3408203,-     .6591797,2.9663086,    2.9663086,"35,785.04",1
690720201029.164125,76.1682129,   76.1682129,     .8789063,     .8789063,3.1860352,    3.1860352,"35,191.58",1
690720201031.164125,76.7724609,   76.7724609,     .7910156,     .7910156,3.2849121,    3.2849121,"34,862.49",1
690720201033.164125,77.1130371,   77.1130371,  359.9890137,-     .0109863,3.2629395,    3.2629395,"34,867.89",1
690720201035.164125,77.0031738,   77.0031738,359.9340820,-     .065918 ,3.1081308,    3.1081308,"34,511.81",1
690720201037.164125,75.8056641,   75.8056641,     .5493164,     .5493164,3.0212402,    3.0212402,"34,290.62",1
690720201039.164125,74.2895508,   74.2895508,     .6811523,     .6811523,2.9223633,    2.9223633,"33,195.44",1
690720201041.164125,75.3222656,   75.3222656,     .2307129,     .2307129,2.8894043,    2.8894043,"33,119.92",1
690720201043.164125,76.5197754,   76.5197754,     .0878906,     .0878906,2.9443359,    2.9443359,"33,087.54",1
690720201045.164125,74.0039062,   74.0039062,  359.6484375,-     .3515625,2.9553223,    2.9553223,"32,245.92",1
690720201047.164125,73.9160156,   73.9160156,1.4721680,    1.472168 ,2.9553223,    2.9553223,"31,733.39",1
690720201049.164125,73.4436035,   73.4436035,.7031250,     .703125 ,2.8344727,    2.8344727,"31,560.75",1
690720201051.164125,72.6635742,   72.6635742,  359.6704102,-     .3295898,2.7355957,    2.7355957,"30,800.06",1
690720201053.164125,72.9492188,   72.9492188,  359.8022461,-     .1977539,1.1206055,    1.1206055,"30,514.12",1
690720201054.086125,72.9991641,   72.9991641,  359.8352051,-     .1647949,359.2968750,-     .703125 ,,1
690720201055.164125,73.2128906,   73.2128906,  359.8022461,-     .1977539,358.6596680,-    1.340332 ,"30,449.38",1
690720201057.164125,72.0373535,   72.0373535,  359.6044922,-     .3955078,359.0551758,-     .9448242,"30,109.50",1
690720201058.176125,71.7077637,   71.7077637,     .1318359,     .1318359,359.3408293,-     .6591707,,1
690720201059.164125,70.6640625,   70.6640625,     .5273438,     .5273438,359.4726562,-     .5273438,"29,311.04",1
690720201100.246125,69.8510742,   69.8510742,     .9008789,     .9008789,359.6813965,-     .3186035,,1
690720201101.164125,70.1636777,   70.1636777,    1.1206055,    1.1206055,359.8352051,-     .1647949,"28,884.83",1
690720201103.164125,71.1584473,   71.1584473,     .8349609,     .8349609,     .1098633,     .1098633,"27,573.85",1
690720201105.164125,70.8277344,   70.8277344,     .3076172,     .3076172,     .2746582,     .2746582,"28,388.49",1
690720201106.277125,70.0048828,   70.0048828,     .2416992,     .2416992,     .3186035,     .3186035,,1
690720201107.164125,68.0270996,   68.0270996,  359.6450684,-     .3549316,     .3735352,     .3735352,"27,676.35",1
690720201107.934125,68.9941406,   68.9941406,     .3076172,     .3076172,     .3955078,     .3955078,,1
690720201109.164125,68.7963867,   68.7963867,     .5712891,     .5712891,     .4394531,     .4394531,"27,325.68",1
690720201111.164125,69.5324707,   69.5324707,     .9997559,     .9997559,     .4394531,     .4394531,"27,309.49",1
690720201111.957125,68.8293457,   68.8293457,     .1208496,     .1208496,     .4394531,     .4394531,,1
690720201113.164125,68.3459473,   68.3459473,  359.4177246,-     .5822754,     .3186035,     .3186035,"26,921.05",1
690720201113.957125,67.9174805,   67.9174805,  359.4836426,-     .5163574,     .3295898,     .3295898,,1
690720201115.164125,67.9284668,   67.9284668,     .4284668,     .4284668,     .2526855,     .2526855,"26,726.83",1
690720201117.164125,66.8627930,   66.862793 ,     .9008789,     .9008789,     .1318359,     .1318359,"26,273.65",1
690720201117.957125,66.4562988,   66.4562988,     .8569336,     .8569336,     .0549316,     .0549316,,1
690720201119.164125,65.9729004,   65.9729004,     .6811523,     .6811523,359.9340820,-     .065918 ,"25,836.66",1
690720201119.957125,65.6872559,   65.6872559,     .5383301,     .5383301,359.7692871,-     .2307129,,1
690720201121.164125,66.4233398,   66.4233398,    1.0107422,    1.0107422,  359.6374512,-     .3625488,"25,707.18",1
690720201123.164125,67.1044922,   67.1044922,     .8239746,     .8239746,  359.2419434,-     .7580566,"25,798.88",1
690720201124.086125,67.1923828,   67.1923828,     .2966309,     .2966309,  358.9992578,-    1.0007422,,1
690720201125.164125,66.7639160,   66.763916 ,  359.5275879,-     .4724121,  358.9123535,-    1.0876465,"25,397.95",1
690720201126.086125,67.7636719,   67.7636719,     .2526855,     .2526855,  358.9782715,-    1.0217285,,1
690720201127.164125,68.4228516,   68.4228516,     .9887695,     .9887695,  358.9672852,-    1.0327148,"25,361.90",1
690720201129.164125,67.5438453,   67.5438453,     .4064941,     .4064941,  358.9233388,-    1.0766612,"25,016.62",1
690720201130.055125,66.6870117,   66.6870117,  359.8022461,-     .1977539,  358.9892578,-    1.0107422,,1
690720201131.164125,66.5441895,   66.5441895,  359.7253418,-     .2746582,  358.9782715,-    1.0217285,"24,628.18",1
690720201131.926125,66.1816406,   66.1816406,  359.5275879,-     .4724121,  359.0332031,-     .9667969,,1
690720201133.164125,66.7088844,   66.7088844,  359.6594238,-     .3405762,  359.0002441,-     .9997559,"24,487.91",1
690720201135.164125,67.3022461,   67.3022461,359.9670410,-     .032959 ,  359.0112305,-     .9887695,"24,547.25",1
690720201135.887125,66.9177246,   66.9177246,     .0439453,     .0439453,  358.9782715,-    1.0217285,,1
690720201137.164125,67.2363281,   67.2363281,     .7250977,     .7250977,  359.0112305,-     .9887695,"24,282.90",1
690720201137.895125,66.4562988,   66.4562988,     .2526855,     .2526855,  358.9343262,-    1.0656738,,1
690720201139.164125,66.1486816,   66.1486816,359.9340820,-     .065918 ,  359.0441895,-     .9558105,"23,856.69",1
690720201139.887125,65.6652832,   65.6652832,  359.5605469,-     .4394531,  359.0332031,-     .9667969,,1
690720201141.164125,65.7202148,   65.7202148,359.9340820,-     .065918 ,  359.1101074,-     .8898926,"23,479.04",1
690720201141.887125,65.5554199,   65.5554199,     .4943848,     .4943848,  359.1540527,-     .8459473,,1
690720201143.164125,65.3796387,   65.3796387,1.3513184,    1.3513184,  359.1870117,-     .8129883,"23,203.90",1
690720201143.965125,64.7534180,   64.753418 ,1.3732910,    1.373291 ,  359.2529297,-     .7470703,,1
690720201145.164125,63.5888672,   63.5888672,     .6591797,     .6591797,358.1979980,-    1.802002 ,"22,723.74",1
690720201145.895125,63.2702637,   63.2702637,     .5053711,     .5053711,359.2309570,-     .769043 ,,1
690720201147.164125,62.9077148,   62.9077148,     .1428223,     .1428223,  359.1760254,-     .8239746,"22,383.86",1
690720201147.895125,63.5559082,   63.5559082,     .7141113,     .7141113,  359.1760254,-     .8239746,,1
690720201149.164125,64.0283203,   64.0283203,    1.1755371,    1.1755371,  359.1650391,-     .8349609,"22,383.86",1
690720201149.926125,64.3469238,   64.3469238,    1.4282227,    1.4282227,  359.6991211,-     .3008789,,1
690720201151.164125,63.5097660,   63.509766 ,     .6811523,     .6811523,  358.0771484,-    1.9228516,"22,254.38",1
690720201151.955125,63.3471680,   63.347168 ,     .4064941,     .4064941,  359.0441895,-     .9558105,,1
690720201153.164125,62.5451660,   62.545166 ,  359.7473145,-     .2526855,  359.2529207,-     .7470793,"21,542.24",1
690720201153.887125,62.4572754,   62.4572754,  359.5835058,-     .4164942,359.3627930,-     .637207 ,,1
690720201155.164125,62.1057129,   62.1057129,  359.7692871,-     .2307129,  359.5715332,-     .4284668,"21,202.35",1
690720201155.887125,62.0617676,   62.0617676,  359.9121094,-     .0878906,  359.7143555,-     .2856445,,1
690720201157.164125,62.0507812,   62.0507812,     .6262207,     .6262207,359.9011230,-     .098877 ,"20,921.81",1
690720201157.895125,61.9519043,   61.9519043,     .8459473,     .8459473,     .0549316,     .0549316,,1
690720201159.164125,61.9628806,   61.9628806,    1.5930176,    1.5930176,     .1757813,     .1757813,"20,835.49",1
690720201159.885125,61.2817383,   61.2817383,    1.2854004,    1.2854004,     .2846445,     .2846445,,1
690720201201.164125,60.8312989,   60.8312989,    1.3842773,    1.3842773,     .3845215,     .3845215,,1
690720201201.887125,60.2050781,   60.2050781,     .9997559,     .9997559,     .4284668,     .4284668,,1
690720201203.164125,60.2929687,   60.2929687,     .9997559,     .9997559,     .5383301,     .5383301,"20,139.54",1
690720201203.895125,59.9633789,   59.9633789,.6701660,     .670166 ,     .5383301,     .5383301,,1
690720201205.164125,60.5346680,   60.534668 ,     .6152344,     .6152344,     .6262207,     .6262207,"19,923.74",1
690720201205.887125,60.5017090,   60.501709 ,     .4614258,     .4614258,     .6262207,     .6262207,,1
690720201207.164125,61.2268066,   61.2268066,     .3735352,     .3735352,     .6481934,     .6481934,"19,643.20",1
690720201207.887125,61.2597656,   61.2597656,     .4724121,     .4724121,     .6591797,     .6591797,,1
690720201209.164125,61.4355469,   61.4355469,     .4284668,     .4284668,     .6152344,     .6152344,"19,448.08",1
690720201209.887125,61.3476562,   61.3476562,     .8239746,     .8239746,     .6481934,     .6481934,,1
690720201211.164125,60.9082031,   60.9082031,     .8789063,     .8789063,     .5932617,     .5932617,"19,098.30",1
690720201211.895125,60.7653809,   60.7653809,    1.4941406,    1.4941406,     .5822754,     .5822754,,1
690720201213.164125,59.8205566,   59.8205566,    1.7468262,    1.7468262,     .5493164,     .5493164,"18,774.60",1
690720201213.895125,59.7436523,   59.7436523,    2.3510742,    2.3510742,     .4943848,     .4943848,,1
690720201215.164125,58.9196777,   58.9196777,1.3073730,    1.307373 ,     .4289668,     .4289668,"18,305.24",1
690720201215.957125,59.1833496,   59.1833496,    1.0217285,    1.0217285,     .2856445,     .2856445,,1
690720201217.164125,58.7878418,   58.7878418,     .0549316,     .0549316,     .1538086,     .1538086,"17,981.54",1
690720201217.937125,59.6118164,   59.6118164,     .3405762,     .3405762,     .0219727,     .0219727,,1
690720201219.164125,59.9743652,   59.9743652,.8020020,     .802002 ,  359.8681641,-     .1318359,"17,857.45",1
690720201219.895125,60.6445313,   60.6445313,    1.2634277,    1.2634277,  359.7473145,-     .2526855,,1
690720201221.164125,59.6777344,   59.6777344,    1.0107422,    1.0107422,  359.4946289,-     .5053711,"17,522.96",1
690720201221.895125,59.4140625,   59.4140625,     .5822754,     .5822754,  359.4067383,-     .5932617,,1
690720201223.164125,58.5681152,   58.5681152,     .3625488,     .3625488,  359.3078613,-     .6921387,"17,193.87",1
690720201223.895125,58.4033203,   58.4033203,359.9670410,-     .032959 ,  359.3847656,-     .6152344,,1
690720201225.164125,58.2495117,   58.2495117,     .3405762,     .3405762,  359.4396973,-     .5603027,"16,859.38",1
690720201225.826125,58.2385254,   58.2385254,     .2197266,     .2197266,  350.4726562,-    9.5273438,,1
690720201227.164125,58.6560059,   58.6560059,    1.0766602,    1.0766602,  359.5385742,-     .4614258,"16,600.42",1
690720201227.895125,58.7219238,   58.7219238,    1.1425781,    1.1425781,  359.5385742,-     .4614258,,1
690720201229.164125,59.1833496,   59.1833496,    1.8896484,    1.8896484,  359.5605469,-     .4394531,"16,422.38",1
690720201229.895125,58.4912109,   58.4912109,    1.4611816,    1.4611816,  359.5495605,-     .4504395,,1
690720201231.164125,58.1945801,   58.1945801,    1.1755371,    1.1755371,  359.5166016,-     .4833984,"16,023.15",1
690720201231.895125,57.4914551,   57.4914551,     .9118652,     .9118652,  359.4726562,-     .5273438,,1
690720201233.164125,57.5436867,   57.5436867,     .7800293,     .7800293,  359.395752 ,-     .604248 ,"15,683.27",1
690720201233.887125,57.0849608,   57.0849608,     .9228516,     .9228516,  359.4506836,-     .5493164,,1
690720201235.164125,57.5024414,   57.5024414,    1.0327148,    1.0327148,  359.5166016,-     .4833984,"15,381.15",1
690720201235.887125,57.2827148,   57.2827148,    1.4501953,    1.4501953,  359.5825195,-     .4174805,,1
690720201237.164125,57.7990723,   57.7990723,    1.5161133,    1.5161133,  359.6264648,-     .3735352,"15,122.19",1
690720201237.895125,57.8979492,   57.8979492,    1.9445801,    1.9445801,  359.6264649,-     .3735351,,1
690720201239.164125,58.6120605,   58.6120605,    1.6040039,    1.6040039,  359.6594238,-     .3405762,"14,825.46",1
690720201239.937125,58.7438965,   58.7438965,    1.6149902,    1.6149902,  359.6154785,-     .3845215,,1
690720201241.164125,58.5351562,   58.5351562,     .4064941,     .4064941,  359.6154785,-     .3845215,"14,474.79",1
690720201242.055125,57.9748535,   57.9748535,     .6591797,     .6591797,  359.5495605,-     .4504395,,1
690720201243.164125,56.9860840,   56.986084 ,     .5603027,     .5603027,  359.5605469,-     .4394531,"14,145.69",1
690720201243.895125,56.8762207,   56.8762207,     .9887695,     .9887695,  359.5385742,-     .4614258,,1
690720201245.164125,56.6674805,   56.6674805,     .8459473,     .8459473,  359.4616699,-     .5383301,"13,816.60",1
690720201245.957125,57.5573730,   57.557373 ,     .7141113,     .7141113,  359.4177246,-     .5822754,,1
690720201247.164125,57.9199219,   57.9199219,     .2746582,     .2746582,  359.4067383,-     .5932617,"13,563.03",1
690720201247.895125,58.3593750,   58.359375 ,     .3295898,     .3295898,  359.5275879,-     .4724121,,1
690720201249.164125,56.9531250,   56.953125 ,    1.2963867,    1.2963867,  359.7253418,-     .2746582,"13,190.78",1
690720201249.895125,56.5026855,   56.5026855,    1.5930176,    1.5930176,  359.8681641,-     .1318359,,1
690720201251.164125,55.6457520,   55.645752 ,    1.7248535,    1.7248535,.0000000,     .       ,"12,910.24",1
690720201251.895125,55.9643555,   55.9643555,    1.0107422,    1.0107422,     .0769043,     .0769043,,1
690720201253.164125,56.0961914,   56.0961914,     .5053711,     .5053711,     .1428223,     .1428223,"12,516.40",1
690720201253.937125,56.6674905,   56.6674905,.0988770,     .098877 ,     .2087402,     .2087402,,1
690720201255.164125,56.7553711,   56.7553711,1.4062500,    1.40625  ,     .3186035,     .3186035,"12,322.18",1
690720201255.887125,56.6784668,   56.6784668,    1.7358398,    1.7358398,     .3845215,     .3845215,,1
690720201257.164125,56.4477539,   56.4477539,    2.6916504,    2.6916504,     .4943848,     .4943848,"11,998.48",1
690720201257.895125,56.3598633,   56.3598633,    1.7578125,    1.7578125,     .5053711,     .5053711,,1
690720201259.164125,56.5686035,   56.5686035,.7360840,     .736084 ,     .5163574,     .5163574,"11,734.13",1
690720201259.895125,56.5026855,   56.5026855,  359.9450684,-     .0549316,     .5053711,     .5053711,,1
690720201301.164125,56.9750977,   56.9750977,.6701660,     .670166 ,     .5383301,     .5383301,"11,437.40",1
690720201301.887125,56.7224121,   56.7224121,    1.1096191,    1.1096191,     .5712891,     .5712891,,1
690720201303.164125,56.8212891,   56.8212891,    2.0324707,    2.0324707,     .5932617,     .5932617,"11,227.00",1
690720201303.895125,56.4697266,   56.4697266,    2.2631836,    2.2631836,.6042480,     .604248 ,,1
690720201305.164125,57.1179199,   57.1179199,    1.7138672,    1.7138672,     .5493164,     .5493164,"10,957.25",1
690720201305.895125,57.0959473,   57.0959473,1.3073730,    1.307373 ,     .5053711,     .5053711,,1
690720201307.164125,57.3815918,   57.3815918,     .4174805,     .4174805,     .4284668,     .4284668,"10,601.18",1
690720201307.895125,56.7663574,   56.7663574,     .5603027,     .5603027,     .3845215,     .3845215,,1
690720201309.164125,56.2280273,   56.2280273,     .1977539,     .1977539,     .3295898,     .3295898,"10,342.22",1
690720201309.926125,55.7446289,   55.7446289,     .4064941,     .4064941,     .2526855,     .2526855,,1
690720201311.164125,55.6677246,   55.6677246,     .0109863,     .0109863,     .1647949,     .1647949,"9,986.84",1
690720201311.895125,55.7446289,   55.7446289,     .2526855,     .2526855,     .0769043,     .0769043,,1
690720201313.164125,56.1071777,   56.1071777,  359.9450684,-     .0549316,359.9670410,-     .032959 ,"9,743.37",1
690720201314.055125,56.5466309,   56.5466309,     .2307129,     .2307129,  359.8242187,-     .1757813,,1
690720201315.164125,56.9421387,   56.9421387,     .1757813,     .1757813,  359.7253418,-     .2746582,"9,473.62",1
690720201315.926125,57.1728516,   57.1728516,.7690430,     .769043 ,  359.6154785,-     .3845215,,1
690720201317.164125,56.6125488,   56.6125488,    1.9116211,    1.9116211,  359.7253418,-     .2746582,"9,171.50",1
690720201317.957125,56.6125488,   56.6125488,    2.5708008,    2.5708008,  359.8681641,-     .1318359,,1
690720201319.164125,55.8984375,   55.8984375,    2.5598145,    2.5598145,     .0878906,     .0878906,"8,928.73",1
690720201319.895125,56.1730957,   56.1730957,2.0104980,    2.010498 ,     .1977539,     .1977539,,1
690720201321.164125,55.9753418,   55.9753418,    1.5490723,    1.5490723,     .2966309,     .2966309,"8,610.42",1
690720201321.895125,56.2390137,   56.2390137,    1.0437012,    1.0437012,     .4174805,     .4174805,,1
690720201323.164125,56.0522461,   56.0522461,    1.0986328,    1.0986328,     .4833984,     .4833984,"8,351.46",1
