time,globals.tick
2026-05-06T20:26:38.470905,0
2026-05-06T20:26:38.472059,1
2026-05-06T20:26:38.480392,2
2026-05-06T20:26:38.488725,3
2026-05-06T20:26:38.497058,4
2026-05-06T20:26:38.505391,5
2026-05-06T20:26:38.513724,6
2026-05-06T20:26:38.522057,7
2026-05-06T20:26:38.530390,8
2026-05-06T20:26:38.538723,9
2026-05-06T20:26:38.547056,10
2026-05-06T20:26:38.555389,11
2026-05-06T20:26:38.563722,12
2026-05-06T20:26:38.572055,13
2026-05-06T20:26:38.580388,14
2026-05-06T20:26:38.588721,15
2026-05-06T20:26:38.597054,16
2026-05-06T20:26:38.605387,17
2026-05-06T20:26:38.613720,18
2026-05-06T20:26:38.622053,19
2026-05-06T20:26:38.630386,20
2026-05-06T20:26:38.638719,21
2026-05-06T20:26:38.647052,22
2026-05-06T20:26:38.655385,23
2026-05-06T20:26:38.663718,24
2026-05-06T20:26:38.672051,25
2026-05-06T20:26:38.680384,26
2026-05-06T20:26:38.688717,27
2026-05-06T20:26:38.697050,28
2026-05-06T20:26:38.705383,29
2026-05-06T20:26:38.713716,30
2026-05-06T20:26:38.722049,31
2026-05-06T20:26:38.730382,32
2026-05-06T20:26:38.738715,33
2026-05-06T20:26:38.747048,34
2026-05-06T20:26:38.755381,35
2026-05-06T20:26:38.763714,36
2026-05-06T20:26:38.772047,37
2026-05-06T20:26:38.780380,38
2026-05-06T20:26:38.788713,39
2026-05-06T20:26:38.797046,40
2026-05-06T20:26:38.805379,41
2026-05-06T20:26:38.813712,42
2026-05-06T20:26:38.822045,43
2026-05-06T20:26:38.830378,44
2026-05-06T20:26:38.838711,45
2026-05-06T20:26:38.847044,46
2026-05-06T20:26:38.855377,47
2026-05-06T20:26:38.863710,48
2026-05-06T20:26:38.872043,49
2026-05-06T20:26:38.880376,50
2026-05-06T20:26:38.888709,51
2026-05-06T20:26:38.897042,52
2026-05-06T20:26:38.905375,53
2026-05-06T20:26:38.913708,54
2026-05-06T20:26:38.922041,55
2026-05-06T20:26:38.930374,56
2026-05-06T20:26:38.938707,57
2026-05-06T20:26:38.947040,58
2026-05-06T20:26:38.955373,59
2026-05-06T20:26:38.963706,60
2026-05-06T20:26:38.972039,61
2026-05-06T20:26:38.980372,62
2026-05-06T20:26:38.988705,63
2026-05-06T20:26:38.997038,64
2026-05-06T20:26:39.005371,65
2026-05-06T20:26:39.013704,66
2026-05-06T20:26:39.022037,67
2026-05-06T20:26:39.030370,68
2026-05-06T20:26:39.038703,69
2026-05-06T20:26:39.047036,70
2026-05-06T20:26:39.055369,71
2026-05-06T20:26:39.063702,72
2026-05-06T20:26:39.072035,73
2026-05-06T20:26:39.080368,74
2026-05-06T20:26:39.088701,75
2026-05-06T20:26:39.097034,76
2026-05-06T20:26:39.105367,77
2026-05-06T20:26:39.113700,78
2026-05-06T20:26:39.122033,79
2026-05-06T20:26:39.130366,80
2026-05-06T20:26:39.138699,81
2026-05-06T20:26:39.147032,82
2026-05-06T20:26:39.155365,83
2026-05-06T20:26:39.163698,84
2026-05-06T20:26:39.172031,85
2026-05-06T20:26:39.180364,86
2026-05-06T20:26:39.188697,87
2026-05-06T20:26:39.197030,88
2026-05-06T20:26:39.205363,89
2026-05-06T20:26:39.213696,90
2026-05-06T20:26:39.222029,91
2026-05-06T20:26:39.230362,92
2026-05-06T20:26:39.238695,93
2026-05-06T20:26:39.247028,94
2026-05-06T20:26:39.255361,95
2026-05-06T20:26:39.263694,96
2026-05-06T20:26:39.272027,97
2026-05-06T20:26:39.280360,98
2026-05-06T20:26:39.288693,99
2026-05-06T20:26:39.297026,100
