time,Globals.tick
2026-03-19T22:51:19.237147,0
2026-03-19T22:51:19.247451,1
2026-03-19T22:51:19.255784,2
2026-03-19T22:51:19.264117,3
2026-03-19T22:51:19.272450,4
2026-03-19T22:51:19.280783,5
2026-03-19T22:51:19.289116,6
2026-03-19T22:51:19.297449,7
2026-03-19T22:51:19.305782,8
2026-03-19T22:51:19.314115,9
2026-03-19T22:51:19.322448,10
2026-03-19T22:51:19.330781,11
2026-03-19T22:51:19.339114,12
2026-03-19T22:51:19.347447,13
2026-03-19T22:51:19.355780,14
2026-03-19T22:51:19.364113,15
2026-03-19T22:51:19.372446,16
2026-03-19T22:51:19.380779,17
2026-03-19T22:51:19.389112,18
2026-03-19T22:51:19.397445,19
2026-03-19T22:51:19.405778,20
2026-03-19T22:51:19.414111,21
2026-03-19T22:51:19.422444,22
2026-03-19T22:51:19.430777,23
2026-03-19T22:51:19.439110,24
2026-03-19T22:51:19.447443,25
2026-03-19T22:51:19.455776,26
2026-03-19T22:51:19.464109,27
2026-03-19T22:51:19.472442,28
2026-03-19T22:51:19.480775,29
2026-03-19T22:51:19.489108,30
2026-03-19T22:51:19.497441,31
2026-03-19T22:51:19.505774,32
2026-03-19T22:51:19.514107,33
2026-03-19T22:51:19.522440,34
2026-03-19T22:51:19.530773,35
2026-03-19T22:51:19.539106,36
2026-03-19T22:51:19.547439,37
2026-03-19T22:51:19.555772,38
2026-03-19T22:51:19.564105,39
2026-03-19T22:51:19.572438,40
2026-03-19T22:51:19.580771,41
2026-03-19T22:51:19.589104,42
2026-03-19T22:51:19.597437,43
2026-03-19T22:51:19.605770,44
2026-03-19T22:51:19.614103,45
2026-03-19T22:51:19.622436,46
2026-03-19T22:51:19.630769,47
2026-03-19T22:51:19.639102,48
2026-03-19T22:51:19.647435,49
2026-03-19T22:51:19.655768,50
2026-03-19T22:51:19.664101,51
2026-03-19T22:51:19.672434,52
2026-03-19T22:51:19.680767,53
2026-03-19T22:51:19.689100,54
2026-03-19T22:51:19.697433,55
2026-03-19T22:51:19.705766,56
2026-03-19T22:51:19.714099,57
2026-03-19T22:51:19.722432,58
2026-03-19T22:51:19.730765,59
2026-03-19T22:51:19.739098,60
2026-03-19T22:51:19.747431,61
2026-03-19T22:51:19.755764,62
2026-03-19T22:51:19.764097,63
2026-03-19T22:51:19.772430,64
2026-03-19T22:51:19.780763,65
2026-03-19T22:51:19.789096,66
2026-03-19T22:51:19.797429,67
2026-03-19T22:51:19.805762,68
2026-03-19T22:51:19.814095,69
2026-03-19T22:51:19.822428,70
2026-03-19T22:51:19.830761,71
2026-03-19T22:51:19.839094,72
2026-03-19T22:51:19.847427,73
2026-03-19T22:51:19.855760,74
2026-03-19T22:51:19.864093,75
2026-03-19T22:51:19.872426,76
2026-03-19T22:51:19.880759,77
2026-03-19T22:51:19.889092,78
2026-03-19T22:51:19.897425,79
2026-03-19T22:51:19.905758,80
2026-03-19T22:51:19.914091,81
2026-03-19T22:51:19.922424,82
2026-03-19T22:51:19.930757,83
2026-03-19T22:51:19.939090,84
2026-03-19T22:51:19.947423,85
2026-03-19T22:51:19.955756,86
2026-03-19T22:51:19.964089,87
2026-03-19T22:51:19.972422,88
2026-03-19T22:51:19.980755,89
2026-03-19T22:51:19.989088,90
2026-03-19T22:51:19.997421,91
2026-03-19T22:51:20.005754,92
2026-03-19T22:51:20.014087,93
2026-03-19T22:51:20.022420,94
2026-03-19T22:51:20.030753,95
2026-03-19T22:51:20.039086,96
2026-03-19T22:51:20.047419,97
2026-03-19T22:51:20.055752,98
2026-03-19T22:51:20.064085,99
2026-03-19T22:51:20.072418,100
