time,css_1_>_sat.css_edge_0,css_1_>_sat.css_edge_1
2026-08-21T00:30:38.609510,6,1
2026-08-21T00:30:38.658997,6,1
2026-08-21T00:30:38.667330,6,1
2026-08-21T00:30:38.675663,6,1
2026-08-21T00:30:38.683996,6,1
2026-08-21T00:30:38.692329,6,1
2026-08-21T00:30:38.700662,6,1
2026-08-21T00:30:38.708995,6,1
2026-08-21T00:30:38.717328,6,1
2026-08-21T00:30:38.725661,6,1
2026-08-21T00:30:38.733994,6,1
2026-08-21T00:30:38.742327,6,1
2026-08-21T00:30:38.750660,6,1
2026-08-21T00:30:38.758993,6,1
2026-08-21T00:30:38.767326,6,1
2026-08-21T00:30:38.775659,6,1
2026-08-21T00:30:38.783992,6,1
2026-08-21T00:30:38.792325,6,1
2026-08-21T00:30:38.800658,6,1
2026-08-21T00:30:38.808991,6,1
2026-08-21T00:30:38.817324,6,1
2026-08-21T00:30:38.825657,6,1
2026-08-21T00:30:38.833990,6,1
2026-08-21T00:30:38.842323,6,1
2026-08-21T00:30:38.850656,6,1
2026-08-21T00:30:38.858989,6,1
2026-08-21T00:30:38.867322,6,1
2026-08-21T00:30:38.875655,6,1
2026-08-21T00:30:38.883988,6,1
2026-08-21T00:30:38.892321,6,1
2026-08-21T00:30:38.900654,6,1
2026-08-21T00:30:38.908987,6,1
2026-08-21T00:30:38.917320,6,1
2026-08-21T00:30:38.925653,6,1
2026-08-21T00:30:38.933986,6,1
2026-08-21T00:30:38.942319,6,1
2026-08-21T00:30:38.950652,6,1
2026-08-21T00:30:38.958985,6,1
2026-08-21T00:30:38.967318,6,1
2026-08-21T00:30:38.975651,6,1
2026-08-21T00:30:38.983984,6,1
2026-08-21T00:30:38.992317,6,1
2026-08-21T00:30:39.000650,6,1
2026-08-21T00:30:39.008983,6,1
2026-08-21T00:30:39.017316,6,1
2026-08-21T00:30:39.025649,6,1
2026-08-21T00:30:39.033982,6,1
2026-08-21T00:30:39.042315,6,1
2026-08-21T00:30:39.050648,6,1
2026-08-21T00:30:39.058981,6,1
2026-08-21T00:30:39.067314,6,1
2026-08-21T00:30:39.075647,6,1
2026-08-21T00:30:39.083980,6,1
2026-08-21T00:30:39.092313,6,1
2026-08-21T00:30:39.100646,6,1
2026-08-21T00:30:39.108979,6,1
2026-08-21T00:30:39.117312,6,1
2026-08-21T00:30:39.125645,6,1
2026-08-21T00:30:39.133978,6,1
2026-08-21T00:30:39.142311,6,1
2026-08-21T00:30:39.150644,6,1
2026-08-21T00:30:39.158977,6,1
2026-08-21T00:30:39.167310,6,1
2026-08-21T00:30:39.175643,6,1
2026-08-21T00:30:39.183976,6,1
2026-08-21T00:30:39.192309,6,1
2026-08-21T00:30:39.200642,6,1
2026-08-21T00:30:39.208975,6,1
2026-08-21T00:30:39.217308,6,1
2026-08-21T00:30:39.225641,6,1
2026-08-21T00:30:39.233974,6,1
2026-08-21T00:30:39.242307,6,1
2026-08-21T00:30:39.250640,6,1
2026-08-21T00:30:39.258973,6,1
2026-08-21T00:30:39.267306,6,1
2026-08-21T00:30:39.275639,6,1
2026-08-21T00:30:39.283972,6,1
2026-08-21T00:30:39.292305,6,1
2026-08-21T00:30:39.300638,6,1
2026-08-21T00:30:39.308971,6,1
2026-08-21T00:30:39.317304,6,1
2026-08-21T00:30:39.325637,6,1
2026-08-21T00:30:39.333970,6,1
2026-08-21T00:30:39.342303,6,1
2026-08-21T00:30:39.350636,6,1
2026-08-21T00:30:39.358969,6,1
2026-08-21T00:30:39.367302,6,1
2026-08-21T00:30:39.375635,6,1
2026-08-21T00:30:39.383968,6,1
2026-08-21T00:30:39.392301,6,1
2026-08-21T00:30:39.400634,6,1
2026-08-21T00:30:39.408967,6,1
2026-08-21T00:30:39.417300,6,1
2026-08-21T00:30:39.425633,6,1
2026-08-21T00:30:39.433966,6,1
2026-08-21T00:30:39.442299,6,1
2026-08-21T00:30:39.450632,6,1
2026-08-21T00:30:39.458965,6,1
2026-08-21T00:30:39.467298,6,1
2026-08-21T00:30:39.475631,6,1
2026-08-21T00:30:39.483964,6,1
