time,css_3_>_sat.css_edge.0,css_3_>_sat.css_edge.1
2026-03-20T03:21:04.545139,8,1
2026-03-20T03:21:04.554275,8,1
2026-03-20T03:21:04.562608,8,1
2026-03-20T03:21:04.570941,8,1
2026-03-20T03:21:04.579274,8,1
2026-03-20T03:21:04.587607,8,1
2026-03-20T03:21:04.595940,8,1
2026-03-20T03:21:04.604273,8,1
2026-03-20T03:21:04.612606,8,1
2026-03-20T03:21:04.620939,8,1
2026-03-20T03:21:04.629272,8,1
2026-03-20T03:21:04.637605,8,1
2026-03-20T03:21:04.645938,8,1
2026-03-20T03:21:04.654271,8,1
2026-03-20T03:21:04.662604,8,1
2026-03-20T03:21:04.670937,8,1
2026-03-20T03:21:04.679270,8,1
2026-03-20T03:21:04.687603,8,1
2026-03-20T03:21:04.695936,8,1
2026-03-20T03:21:04.704269,8,1
2026-03-20T03:21:04.712602,8,1
2026-03-20T03:21:04.720935,8,1
2026-03-20T03:21:04.729268,8,1
2026-03-20T03:21:04.737601,8,1
2026-03-20T03:21:04.745934,8,1
2026-03-20T03:21:04.754267,8,1
2026-03-20T03:21:04.762600,8,1
2026-03-20T03:21:04.770933,8,1
2026-03-20T03:21:04.779266,8,1
2026-03-20T03:21:04.787599,8,1
2026-03-20T03:21:04.795932,8,1
2026-03-20T03:21:04.804265,8,1
2026-03-20T03:21:04.812598,8,1
2026-03-20T03:21:04.820931,8,1
2026-03-20T03:21:04.829264,8,1
2026-03-20T03:21:04.837597,8,1
2026-03-20T03:21:04.845930,8,1
2026-03-20T03:21:04.854263,8,1
2026-03-20T03:21:04.862596,8,1
2026-03-20T03:21:04.870929,8,1
2026-03-20T03:21:04.879262,8,1
2026-03-20T03:21:04.887595,8,1
2026-03-20T03:21:04.895928,8,1
2026-03-20T03:21:04.904261,8,1
2026-03-20T03:21:04.912594,8,1
2026-03-20T03:21:04.920927,8,1
2026-03-20T03:21:04.929260,8,1
2026-03-20T03:21:04.937593,8,1
2026-03-20T03:21:04.945926,8,1
2026-03-20T03:21:04.954259,8,1
2026-03-20T03:21:04.962592,8,1
2026-03-20T03:21:04.970925,8,1
2026-03-20T03:21:04.979258,8,1
2026-03-20T03:21:04.987591,8,1
2026-03-20T03:21:04.995924,8,1
2026-03-20T03:21:05.004257,8,1
2026-03-20T03:21:05.012590,8,1
2026-03-20T03:21:05.020923,8,1
2026-03-20T03:21:05.029256,8,1
2026-03-20T03:21:05.037589,8,1
2026-03-20T03:21:05.045922,8,1
2026-03-20T03:21:05.054255,8,1
2026-03-20T03:21:05.062588,8,1
2026-03-20T03:21:05.070921,8,1
2026-03-20T03:21:05.079254,8,1
2026-03-20T03:21:05.087587,8,1
2026-03-20T03:21:05.095920,8,1
2026-03-20T03:21:05.104253,8,1
2026-03-20T03:21:05.112586,8,1
2026-03-20T03:21:05.120919,8,1
2026-03-20T03:21:05.129252,8,1
2026-03-20T03:21:05.137585,8,1
2026-03-20T03:21:05.145918,8,1
2026-03-20T03:21:05.154251,8,1
2026-03-20T03:21:05.162584,8,1
2026-03-20T03:21:05.170917,8,1
2026-03-20T03:21:05.179250,8,1
2026-03-20T03:21:05.187583,8,1
2026-03-20T03:21:05.195916,8,1
2026-03-20T03:21:05.204249,8,1
2026-03-20T03:21:05.212582,8,1
2026-03-20T03:21:05.220915,8,1
2026-03-20T03:21:05.229248,8,1
2026-03-20T03:21:05.237581,8,1
2026-03-20T03:21:05.245914,8,1
2026-03-20T03:21:05.254247,8,1
2026-03-20T03:21:05.262580,8,1
2026-03-20T03:21:05.270913,8,1
2026-03-20T03:21:05.279246,8,1
2026-03-20T03:21:05.287579,8,1
2026-03-20T03:21:05.295912,8,1
2026-03-20T03:21:05.304245,8,1
2026-03-20T03:21:05.312578,8,1
2026-03-20T03:21:05.320911,8,1
2026-03-20T03:21:05.329244,8,1
2026-03-20T03:21:05.337577,8,1
2026-03-20T03:21:05.345910,8,1
2026-03-20T03:21:05.354243,8,1
2026-03-20T03:21:05.362576,8,1
2026-03-20T03:21:05.370909,8,1
2026-03-20T03:21:05.379242,8,1
