time,css_4_>_sat.css_edge_0,css_4_>_sat.css_edge_1
2026-05-06T20:26:39.850340,9,1
2026-05-06T20:26:39.858239,9,1
2026-05-06T20:26:39.866572,9,1
2026-05-06T20:26:39.874905,9,1
2026-05-06T20:26:39.883238,9,1
2026-05-06T20:26:39.891571,9,1
2026-05-06T20:26:39.899904,9,1
2026-05-06T20:26:39.908237,9,1
2026-05-06T20:26:39.916570,9,1
2026-05-06T20:26:39.924903,9,1
2026-05-06T20:26:39.933236,9,1
2026-05-06T20:26:39.941569,9,1
2026-05-06T20:26:39.949902,9,1
2026-05-06T20:26:39.958235,9,1
2026-05-06T20:26:39.966568,9,1
2026-05-06T20:26:39.974901,9,1
2026-05-06T20:26:39.983234,9,1
2026-05-06T20:26:39.991567,9,1
2026-05-06T20:26:39.999900,9,1
2026-05-06T20:26:40.008233,9,1
2026-05-06T20:26:40.016566,9,1
2026-05-06T20:26:40.024899,9,1
2026-05-06T20:26:40.033232,9,1
2026-05-06T20:26:40.041565,9,1
2026-05-06T20:26:40.049898,9,1
2026-05-06T20:26:40.058231,9,1
2026-05-06T20:26:40.066564,9,1
2026-05-06T20:26:40.074897,9,1
2026-05-06T20:26:40.083230,9,1
2026-05-06T20:26:40.091563,9,1
2026-05-06T20:26:40.099896,9,1
2026-05-06T20:26:40.108229,9,1
2026-05-06T20:26:40.116562,9,1
2026-05-06T20:26:40.124895,9,1
2026-05-06T20:26:40.133228,9,1
2026-05-06T20:26:40.141561,9,1
2026-05-06T20:26:40.149894,9,1
2026-05-06T20:26:40.158227,9,1
2026-05-06T20:26:40.166560,9,1
2026-05-06T20:26:40.174893,9,1
2026-05-06T20:26:40.183226,9,1
2026-05-06T20:26:40.191559,9,1
2026-05-06T20:26:40.199892,9,1
2026-05-06T20:26:40.208225,9,1
2026-05-06T20:26:40.216558,9,1
2026-05-06T20:26:40.224891,9,1
2026-05-06T20:26:40.233224,9,1
2026-05-06T20:26:40.241557,9,1
2026-05-06T20:26:40.249890,9,1
2026-05-06T20:26:40.258223,9,1
2026-05-06T20:26:40.266556,9,1
2026-05-06T20:26:40.274889,9,1
2026-05-06T20:26:40.283222,9,1
2026-05-06T20:26:40.291555,9,1
2026-05-06T20:26:40.299888,9,1
2026-05-06T20:26:40.308221,9,1
2026-05-06T20:26:40.316554,9,1
2026-05-06T20:26:40.324887,9,1
2026-05-06T20:26:40.333220,9,1
2026-05-06T20:26:40.341553,9,1
2026-05-06T20:26:40.349886,9,1
2026-05-06T20:26:40.358219,9,1
2026-05-06T20:26:40.366552,9,1
2026-05-06T20:26:40.374885,9,1
2026-05-06T20:26:40.383218,9,1
2026-05-06T20:26:40.391551,9,1
2026-05-06T20:26:40.399884,9,1
2026-05-06T20:26:40.408217,9,1
2026-05-06T20:26:40.416550,9,1
2026-05-06T20:26:40.424883,9,1
2026-05-06T20:26:40.433216,9,1
2026-05-06T20:26:40.441549,9,1
2026-05-06T20:26:40.449882,9,1
2026-05-06T20:26:40.458215,9,1
2026-05-06T20:26:40.466548,9,1
2026-05-06T20:26:40.474881,9,1
2026-05-06T20:26:40.483214,9,1
2026-05-06T20:26:40.491547,9,1
2026-05-06T20:26:40.499880,9,1
2026-05-06T20:26:40.508213,9,1
2026-05-06T20:26:40.516546,9,1
2026-05-06T20:26:40.524879,9,1
2026-05-06T20:26:40.533212,9,1
2026-05-06T20:26:40.541545,9,1
2026-05-06T20:26:40.549878,9,1
2026-05-06T20:26:40.558211,9,1
2026-05-06T20:26:40.566544,9,1
2026-05-06T20:26:40.574877,9,1
2026-05-06T20:26:40.583210,9,1
2026-05-06T20:26:40.591543,9,1
2026-05-06T20:26:40.599876,9,1
2026-05-06T20:26:40.608209,9,1
2026-05-06T20:26:40.616542,9,1
2026-05-06T20:26:40.624875,9,1
2026-05-06T20:26:40.633208,9,1
2026-05-06T20:26:40.641541,9,1
2026-05-06T20:26:40.649874,9,1
2026-05-06T20:26:40.658207,9,1
2026-05-06T20:26:40.666540,9,1
2026-05-06T20:26:40.674873,9,1
2026-05-06T20:26:40.683206,9,1
