time,earth.inertia_0,earth.inertia_1,earth.inertia_2,earth.inertia_3,earth.inertia_4,earth.inertia_5,earth.inertia_6
2026-08-20T19:15:39.931332,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:39.990198,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:39.998531,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.006864,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.015197,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.023530,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.031863,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.040196,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.048529,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.056862,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.065195,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.073528,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.081861,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.090194,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.098527,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.106860,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.115193,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.123526,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.131859,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.140192,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.148525,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.156858,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.165191,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.173524,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.181857,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.190190,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.198523,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.206856,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.215189,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.223522,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.231855,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.240188,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.248521,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.256854,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.265187,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.273520,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.281853,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.290186,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.298519,1.0,1.0,1.0,0.0,0.0,0.0,1.0
