time,globals.tick
2026-08-20T19:15:39.931332,0
2026-08-20T19:15:39.990198,1
2026-08-20T19:15:39.998531,2
2026-08-20T19:15:40.006864,3
2026-08-20T19:15:40.015197,4
2026-08-20T19:15:40.023530,5
2026-08-20T19:15:40.031863,6
2026-08-20T19:15:40.040196,7
2026-08-20T19:15:40.048529,8
2026-08-20T19:15:40.056862,9
2026-08-20T19:15:40.065195,10
2026-08-20T19:15:40.073528,11
2026-08-20T19:15:40.081861,12
2026-08-20T19:15:40.090194,13
2026-08-20T19:15:40.098527,14
2026-08-20T19:15:40.106860,15
2026-08-20T19:15:40.115193,16
2026-08-20T19:15:40.123526,17
2026-08-20T19:15:40.131859,18
2026-08-20T19:15:40.140192,19
2026-08-20T19:15:40.148525,20
2026-08-20T19:15:40.156858,21
2026-08-20T19:15:40.165191,22
2026-08-20T19:15:40.173524,23
2026-08-20T19:15:40.181857,24
2026-08-20T19:15:40.190190,25
2026-08-20T19:15:40.198523,26
2026-08-20T19:15:40.206856,27
2026-08-20T19:15:40.215189,28
2026-08-20T19:15:40.223522,29
2026-08-20T19:15:40.231855,30
2026-08-20T19:15:40.240188,31
2026-08-20T19:15:40.248521,32
2026-08-20T19:15:40.256854,33
2026-08-20T19:15:40.265187,34
2026-08-20T19:15:40.273520,35
2026-08-20T19:15:40.281853,36
2026-08-20T19:15:40.290186,37
2026-08-20T19:15:40.298519,38
2026-08-20T19:15:40.306852,39
2026-08-20T19:15:40.315185,40
2026-08-20T19:15:40.323518,41
2026-08-20T19:15:40.331851,42
2026-08-20T19:15:40.340184,43
2026-08-20T19:15:40.348517,44
2026-08-20T19:15:40.356850,45
2026-08-20T19:15:40.365183,46
2026-08-20T19:15:40.373516,47
2026-08-20T19:15:40.381849,48
2026-08-20T19:15:40.390182,49
2026-08-20T19:15:40.398515,50
2026-08-20T19:15:40.406848,51
2026-08-20T19:15:40.415181,52
2026-08-20T19:15:40.423514,53
2026-08-20T19:15:40.431847,54
2026-08-20T19:15:40.440180,55
2026-08-20T19:15:40.448513,56
2026-08-20T19:15:40.456846,57
2026-08-20T19:15:40.465179,58
2026-08-20T19:15:40.473512,59
2026-08-20T19:15:40.481845,60
2026-08-20T19:15:40.490178,61
2026-08-20T19:15:40.498511,62
2026-08-20T19:15:40.506844,63
2026-08-20T19:15:40.515177,64
2026-08-20T19:15:40.523510,65
2026-08-20T19:15:40.531843,66
2026-08-20T19:15:40.540176,67
2026-08-20T19:15:40.548509,68
2026-08-20T19:15:40.556842,69
2026-08-20T19:15:40.565175,70
2026-08-20T19:15:40.573508,71
2026-08-20T19:15:40.581841,72
2026-08-20T19:15:40.590174,73
2026-08-20T19:15:40.598507,74
2026-08-20T19:15:40.606840,75
2026-08-20T19:15:40.615173,76
2026-08-20T19:15:40.623506,77
2026-08-20T19:15:40.631839,78
2026-08-20T19:15:40.640172,79
2026-08-20T19:15:40.648505,80
2026-08-20T19:15:40.656838,81
2026-08-20T19:15:40.665171,82
2026-08-20T19:15:40.673504,83
2026-08-20T19:15:40.681837,84
2026-08-20T19:15:40.690170,85
2026-08-20T19:15:40.698503,86
2026-08-20T19:15:40.706836,87
2026-08-20T19:15:40.715169,88
2026-08-20T19:15:40.723502,89
2026-08-20T19:15:40.731835,90
2026-08-20T19:15:40.740168,91
2026-08-20T19:15:40.748501,92
2026-08-20T19:15:40.756834,93
2026-08-20T19:15:40.765167,94
2026-08-20T19:15:40.773500,95
2026-08-20T19:15:40.781833,96
2026-08-20T19:15:40.790166,97
2026-08-20T19:15:40.798499,98
2026-08-20T19:15:40.806832,99
2026-08-20T19:15:40.815165,100
