time,ore_sat.radius
2026-08-21T00:30:38.609510,0.0
2026-08-21T00:30:38.658997,6778099.999999999
2026-08-21T00:30:38.667330,6778099.999698468
2026-08-21T00:30:38.675663,6778099.999396647
2026-08-21T00:30:38.683996,6778099.999094538
2026-08-21T00:30:38.692329,6778099.998792141
2026-08-21T00:30:38.700662,6778099.998489454
2026-08-21T00:30:38.708995,6778099.99818648
2026-08-21T00:30:38.717328,6778099.9978832165
2026-08-21T00:30:38.725661,6778099.997579664
2026-08-21T00:30:38.733994,6778099.997275824
2026-08-21T00:30:38.742327,6778099.996971694
2026-08-21T00:30:38.750660,6778099.996667275
2026-08-21T00:30:38.758993,6778099.996362569
2026-08-21T00:30:38.767326,6778099.996057574
2026-08-21T00:30:38.775659,6778099.99575229
2026-08-21T00:30:38.783992,6778099.995446717
2026-08-21T00:30:38.792325,6778099.995140856
2026-08-21T00:30:38.800658,6778099.994834706
2026-08-21T00:30:38.808991,6778099.9945282675
2026-08-21T00:30:38.817324,6778099.99422154
2026-08-21T00:30:38.825657,6778099.993914525
2026-08-21T00:30:38.833990,6778099.99360722
2026-08-21T00:30:38.842323,6778099.993299627
2026-08-21T00:30:38.850656,6778099.9929917455
2026-08-21T00:30:38.858989,6778099.992683575
2026-08-21T00:30:38.867322,6778099.992375117
2026-08-21T00:30:38.875655,6778099.992066368
2026-08-21T00:30:38.883988,6778099.991757332
2026-08-21T00:30:38.892321,6778099.9914480075
2026-08-21T00:30:38.900654,6778099.991138394
2026-08-21T00:30:38.908987,6778099.990828492
2026-08-21T00:30:38.917320,6778099.990518301
2026-08-21T00:30:38.925653,6778099.990207822
2026-08-21T00:30:38.933986,6778099.989897054
2026-08-21T00:30:38.942319,6778099.989585997
2026-08-21T00:30:38.950652,6778099.989274652
2026-08-21T00:30:38.958985,6778099.988963017
2026-08-21T00:30:38.967318,6778099.988651094
2026-08-21T00:30:38.975651,6778099.988338883
2026-08-21T00:30:38.983984,6778099.988026382
2026-08-21T00:30:38.992317,6778099.987713595
2026-08-21T00:30:39.000650,6778099.987400517
2026-08-21T00:30:39.008983,6778099.987087152
2026-08-21T00:30:39.017316,6778099.9867734965
2026-08-21T00:30:39.025649,6778099.986459553
2026-08-21T00:30:39.033982,6778099.986145322
2026-08-21T00:30:39.042315,6778099.985830802
2026-08-21T00:30:39.050648,6778099.985515993
2026-08-21T00:30:39.058981,6778099.985200896
2026-08-21T00:30:39.067314,6778099.984885509
2026-08-21T00:30:39.075647,6778099.984569835
2026-08-21T00:30:39.083980,6778099.984253871
2026-08-21T00:30:39.092313,6778099.983937619
2026-08-21T00:30:39.100646,6778099.983621079
2026-08-21T00:30:39.108979,6778099.983304248
2026-08-21T00:30:39.117312,6778099.982987131
2026-08-21T00:30:39.125645,6778099.982669724
2026-08-21T00:30:39.133978,6778099.9823520295
2026-08-21T00:30:39.142311,6778099.982034045
2026-08-21T00:30:39.150644,6778099.981715772
2026-08-21T00:30:39.158977,6778099.981397212
2026-08-21T00:30:39.167310,6778099.981078361
2026-08-21T00:30:39.175643,6778099.980759224
2026-08-21T00:30:39.183976,6778099.980439796
2026-08-21T00:30:39.192309,6778099.980120081
2026-08-21T00:30:39.200642,6778099.979800077
2026-08-21T00:30:39.208975,6778099.979479783
2026-08-21T00:30:39.217308,6778099.979159202
2026-08-21T00:30:39.225641,6778099.978838331
2026-08-21T00:30:39.233974,6778099.978517173
2026-08-21T00:30:39.242307,6778099.978195725
2026-08-21T00:30:39.250640,6778099.977873989
2026-08-21T00:30:39.258973,6778099.977551965
2026-08-21T00:30:39.267306,6778099.977229652
2026-08-21T00:30:39.275639,6778099.97690705
2026-08-21T00:30:39.283972,6778099.976584159
2026-08-21T00:30:39.292305,6778099.976260981
2026-08-21T00:30:39.300638,6778099.975937512
2026-08-21T00:30:39.308971,6778099.975613756
2026-08-21T00:30:39.317304,6778099.975289711
2026-08-21T00:30:39.325637,6778099.974965377
2026-08-21T00:30:39.333970,6778099.974640755
2026-08-21T00:30:39.342303,6778099.9743158445
2026-08-21T00:30:39.350636,6778099.973990644
2026-08-21T00:30:39.358969,6778099.9736651555
2026-08-21T00:30:39.367302,6778099.973339379
2026-08-21T00:30:39.375635,6778099.9730133135
2026-08-21T00:30:39.383968,6778099.972686959
2026-08-21T00:30:39.392301,6778099.972360317
2026-08-21T00:30:39.400634,6778099.972033385
2026-08-21T00:30:39.408967,6778099.971706165
2026-08-21T00:30:39.417300,6778099.971378656
2026-08-21T00:30:39.425633,6778099.971050859
2026-08-21T00:30:39.433966,6778099.970722773
2026-08-21T00:30:39.442299,6778099.9703944
2026-08-21T00:30:39.450632,6778099.970065736
2026-08-21T00:30:39.458965,6778099.969736785
2026-08-21T00:30:39.467298,6778099.969407545
2026-08-21T00:30:39.475631,6778099.969078016
2026-08-21T00:30:39.483964,6778099.968748199
