time,sat_>_rw_1.rw_edge_0,sat_>_rw_1.rw_edge_1
2026-05-06T20:26:39.850340,1,2
2026-05-06T20:26:39.858239,1,2
2026-05-06T20:26:39.866572,1,2
2026-05-06T20:26:39.874905,1,2
2026-05-06T20:26:39.883238,1,2
2026-05-06T20:26:39.891571,1,2
2026-05-06T20:26:39.899904,1,2
2026-05-06T20:26:39.908237,1,2
2026-05-06T20:26:39.916570,1,2
2026-05-06T20:26:39.924903,1,2
2026-05-06T20:26:39.933236,1,2
2026-05-06T20:26:39.941569,1,2
2026-05-06T20:26:39.949902,1,2
2026-05-06T20:26:39.958235,1,2
2026-05-06T20:26:39.966568,1,2
2026-05-06T20:26:39.974901,1,2
2026-05-06T20:26:39.983234,1,2
2026-05-06T20:26:39.991567,1,2
2026-05-06T20:26:39.999900,1,2
2026-05-06T20:26:40.008233,1,2
2026-05-06T20:26:40.016566,1,2
2026-05-06T20:26:40.024899,1,2
2026-05-06T20:26:40.033232,1,2
2026-05-06T20:26:40.041565,1,2
2026-05-06T20:26:40.049898,1,2
2026-05-06T20:26:40.058231,1,2
2026-05-06T20:26:40.066564,1,2
2026-05-06T20:26:40.074897,1,2
2026-05-06T20:26:40.083230,1,2
2026-05-06T20:26:40.091563,1,2
2026-05-06T20:26:40.099896,1,2
2026-05-06T20:26:40.108229,1,2
2026-05-06T20:26:40.116562,1,2
2026-05-06T20:26:40.124895,1,2
2026-05-06T20:26:40.133228,1,2
2026-05-06T20:26:40.141561,1,2
2026-05-06T20:26:40.149894,1,2
2026-05-06T20:26:40.158227,1,2
2026-05-06T20:26:40.166560,1,2
2026-05-06T20:26:40.174893,1,2
2026-05-06T20:26:40.183226,1,2
2026-05-06T20:26:40.191559,1,2
2026-05-06T20:26:40.199892,1,2
2026-05-06T20:26:40.208225,1,2
2026-05-06T20:26:40.216558,1,2
2026-05-06T20:26:40.224891,1,2
2026-05-06T20:26:40.233224,1,2
2026-05-06T20:26:40.241557,1,2
2026-05-06T20:26:40.249890,1,2
2026-05-06T20:26:40.258223,1,2
2026-05-06T20:26:40.266556,1,2
2026-05-06T20:26:40.274889,1,2
2026-05-06T20:26:40.283222,1,2
2026-05-06T20:26:40.291555,1,2
2026-05-06T20:26:40.299888,1,2
2026-05-06T20:26:40.308221,1,2
2026-05-06T20:26:40.316554,1,2
2026-05-06T20:26:40.324887,1,2
2026-05-06T20:26:40.333220,1,2
2026-05-06T20:26:40.341553,1,2
2026-05-06T20:26:40.349886,1,2
2026-05-06T20:26:40.358219,1,2
2026-05-06T20:26:40.366552,1,2
2026-05-06T20:26:40.374885,1,2
2026-05-06T20:26:40.383218,1,2
2026-05-06T20:26:40.391551,1,2
2026-05-06T20:26:40.399884,1,2
2026-05-06T20:26:40.408217,1,2
2026-05-06T20:26:40.416550,1,2
2026-05-06T20:26:40.424883,1,2
2026-05-06T20:26:40.433216,1,2
2026-05-06T20:26:40.441549,1,2
2026-05-06T20:26:40.449882,1,2
2026-05-06T20:26:40.458215,1,2
2026-05-06T20:26:40.466548,1,2
2026-05-06T20:26:40.474881,1,2
2026-05-06T20:26:40.483214,1,2
2026-05-06T20:26:40.491547,1,2
2026-05-06T20:26:40.499880,1,2
2026-05-06T20:26:40.508213,1,2
2026-05-06T20:26:40.516546,1,2
2026-05-06T20:26:40.524879,1,2
2026-05-06T20:26:40.533212,1,2
2026-05-06T20:26:40.541545,1,2
2026-05-06T20:26:40.549878,1,2
2026-05-06T20:26:40.558211,1,2
2026-05-06T20:26:40.566544,1,2
2026-05-06T20:26:40.574877,1,2
2026-05-06T20:26:40.583210,1,2
2026-05-06T20:26:40.591543,1,2
2026-05-06T20:26:40.599876,1,2
2026-05-06T20:26:40.608209,1,2
2026-05-06T20:26:40.616542,1,2
2026-05-06T20:26:40.624875,1,2
2026-05-06T20:26:40.633208,1,2
2026-05-06T20:26:40.641541,1,2
2026-05-06T20:26:40.649874,1,2
2026-05-06T20:26:40.658207,1,2
2026-05-06T20:26:40.666540,1,2
2026-05-06T20:26:40.674873,1,2
2026-05-06T20:26:40.683206,1,2
