time,Globals.tick
2026-03-20T03:15:00.939622,0
2026-03-20T03:15:00.951350,3
2026-03-20T03:15:00.961349,6
2026-03-20T03:15:00.971348,9
2026-03-20T03:15:00.981347,12
2026-03-20T03:15:00.991346,15
2026-03-20T03:15:01.001345,18
2026-03-20T03:15:01.011344,21
2026-03-20T03:15:01.021343,24
2026-03-20T03:15:01.031342,27
2026-03-20T03:15:01.041341,30
2026-03-20T03:15:01.051340,33
2026-03-20T03:15:01.061339,36
2026-03-20T03:15:01.071338,39
2026-03-20T03:15:01.081337,42
2026-03-20T03:15:01.091336,45
2026-03-20T03:15:01.101335,48
2026-03-20T03:15:01.111334,51
2026-03-20T03:15:01.121333,54
2026-03-20T03:15:01.131332,57
2026-03-20T03:15:01.141331,60
2026-03-20T03:15:01.151330,63
2026-03-20T03:15:01.161329,66
2026-03-20T03:15:01.171328,69
2026-03-20T03:15:01.181327,72
2026-03-20T03:15:01.191326,75
2026-03-20T03:15:01.201325,78
2026-03-20T03:15:01.211324,81
2026-03-20T03:15:01.221323,84
2026-03-20T03:15:01.231322,87
2026-03-20T03:15:01.241321,90
2026-03-20T03:15:01.251320,93
2026-03-20T03:15:01.261319,96
2026-03-20T03:15:01.271318,99
2026-03-20T03:15:01.274651,100
