time,drone.motor_rpm_m1,drone.motor_rpm_m2,drone.motor_rpm_m3,drone.motor_rpm_m4
2026-08-21T00:30:40.695630,0.0,0.0,0.0,0.0
2026-08-21T00:30:40.726148,2475.1518225116956,2486.704649268963,2463.7600652731917,2492.056477786476
2026-08-21T00:30:40.736147,4695.1958486328485,4786.13570213948,4710.6171793866615,4753.884167280105
2026-08-21T00:30:40.746146,6702.758356108901,6829.759731691159,6768.4153569743885,6773.810625747361
2026-08-21T00:30:40.756145,8618.102330829835,8587.127688121152,8620.118785734167,8630.667862780441
2026-08-21T00:30:40.766144,10228.569290251013,10318.778340988518,10262.531634060046,10307.766063622972
2026-08-21T00:30:40.776143,11690.732022585451,11873.225924865563,11734.709535725033,11843.358491130548
2026-08-21T00:30:40.786142,13050.53805848783,13263.835283086677,13109.63650400447,13175.816256916278
2026-08-21T00:30:40.796141,14355.774626360328,14451.651680743082,14301.09562104375,14467.652906344116
2026-08-21T00:30:40.806140,15539.859667978848,15510.062347349614,15393.107084911413,15598.85770703
2026-08-21T00:30:40.816139,16512.191404764064,16558.761949767813,16481.542266064513,16499.97939926368
2026-08-21T00:30:40.826138,17481.662791310235,17418.27620449895,17479.763271263477,17339.120615538945
2026-08-21T00:30:40.836137,18280.85747999884,18300.14942902461,18330.87437015393,18151.84656980472
2026-08-21T00:30:40.846136,19129.91799061638,18945.985800608072,19042.098139975664,18946.53013770452
2026-08-21T00:30:40.856135,19808.10110689054,19637.046371277516,19727.653810901003,19646.201050652387
2026-08-21T00:30:40.866134,20407.148845857548,20276.514209255893,20295.06290821352,20321.125213220974
2026-08-21T00:30:40.876133,20869.55879942108,20918.791090283426,20842.114262747353,20894.318246456372
2026-08-21T00:30:40.886132,21244.084331351987,21512.616700464834,21351.08613407092,21406.197353613243
2026-08-21T00:30:40.896131,21710.3781844533,21949.325676726417,21720.123076199885,21945.952959135648
2026-08-21T00:30:40.906130,22217.31237905549,22261.179496837758,22160.24556185912,22357.09240646083
2026-08-21T00:30:40.916129,22611.2964856604,22606.80089275043,22522.43269793973,22762.44342128641
2026-08-21T00:30:40.926128,22898.026420223905,22989.279877160385,22897.407162032912,23066.77986001867
2026-08-21T00:30:40.936127,23123.19820750209,23375.94115289654,23281.83413033152,23286.66715112644
2026-08-21T00:30:40.946126,23470.661894204095,23595.335830048985,23564.911472530643,23559.47431158532
2026-08-21T00:30:40.956125,23819.728833647066,23758.124789237372,23726.481278550385,23891.160932705036
2026-08-21T00:30:40.966124,24005.27047372467,24027.913719248274,23945.786437262286,24137.585470119
2026-08-21T00:30:40.976123,24199.400146056563,24222.141476695208,24146.43253648226,24359.45496542649
2026-08-21T00:30:40.986122,24334.925910012505,24459.417157544653,24367.11847642308,24518.023931239066
2026-08-21T00:30:40.996121,24512.22724083971,24609.303826575073,24586.353738315902,24644.71511516373
2026-08-21T00:30:41.006120,24712.421483946327,24729.962262930192,24726.267662417566,24812.534654340245
2026-08-21T00:30:41.016119,24775.78997591457,24933.35173037147,24920.67008206573,24888.861331650307
2026-08-21T00:30:41.026118,24924.424457580724,25060.120171706174,25079.049335392905,24973.112652160475
2026-08-21T00:30:41.036117,25013.65137262517,25206.732366512435,25110.331364783615,25172.491221388536
2026-08-21T00:30:41.046116,25125.367662853336,25316.762278496008,25196.47775526978,25270.870749739115
2026-08-21T00:30:41.049449,25190.114633048994,25321.789050955078,25242.728386551473,25281.638107159888
