time,drone.sensor_tick
2026-03-19T22:50:45.258700,0
2026-03-19T22:50:45.270542,9
2026-03-19T22:50:45.280541,18
2026-03-19T22:50:45.290540,27
2026-03-19T22:50:45.300539,36
2026-03-19T22:50:45.310538,45
2026-03-19T22:50:45.320537,54
2026-03-19T22:50:45.330536,63
2026-03-19T22:50:45.340535,72
2026-03-19T22:50:45.350534,81
2026-03-19T22:50:45.360533,90
2026-03-19T22:50:45.370532,99
2026-03-19T22:50:45.380531,108
2026-03-19T22:50:45.390530,117
2026-03-19T22:50:45.400529,126
2026-03-19T22:50:45.410528,135
2026-03-19T22:50:45.420527,144
2026-03-19T22:50:45.430526,153
2026-03-19T22:50:45.440525,162
2026-03-19T22:50:45.450524,171
2026-03-19T22:50:45.460523,180
2026-03-19T22:50:45.470522,189
2026-03-19T22:50:45.480521,198
2026-03-19T22:50:45.490520,207
2026-03-19T22:50:45.500519,216
2026-03-19T22:50:45.510518,225
2026-03-19T22:50:45.520517,234
2026-03-19T22:50:45.530516,243
2026-03-19T22:50:45.540515,252
2026-03-19T22:50:45.550514,261
2026-03-19T22:50:45.560513,270
2026-03-19T22:50:45.570512,279
2026-03-19T22:50:45.580511,288
2026-03-19T22:50:45.590510,297
2026-03-19T22:50:45.593843,300
