time,globals.tick
2026-05-06T20:26:42.783427,0
2026-05-06T20:26:42.794510,3
2026-05-06T20:26:42.804509,6
2026-05-06T20:26:42.814508,9
2026-05-06T20:26:42.824507,12
2026-05-06T20:26:42.834506,15
2026-05-06T20:26:42.844505,18
2026-05-06T20:26:42.854504,21
2026-05-06T20:26:42.864503,24
2026-05-06T20:26:42.874502,27
2026-05-06T20:26:42.884501,30
2026-05-06T20:26:42.894500,33
2026-05-06T20:26:42.904499,36
2026-05-06T20:26:42.914498,39
2026-05-06T20:26:42.924497,42
2026-05-06T20:26:42.934496,45
2026-05-06T20:26:42.944495,48
2026-05-06T20:26:42.954494,51
2026-05-06T20:26:42.964493,54
2026-05-06T20:26:42.974492,57
2026-05-06T20:26:42.984491,60
2026-05-06T20:26:42.994490,63
2026-05-06T20:26:43.004489,66
2026-05-06T20:26:43.014488,69
2026-05-06T20:26:43.024487,72
2026-05-06T20:26:43.034486,75
2026-05-06T20:26:43.044485,78
2026-05-06T20:26:43.054484,81
2026-05-06T20:26:43.064483,84
2026-05-06T20:26:43.074482,87
2026-05-06T20:26:43.084481,90
2026-05-06T20:26:43.094480,93
2026-05-06T20:26:43.104479,96
2026-05-06T20:26:43.114478,99
2026-05-06T20:26:43.117811,100
