time,Globals.tick
2026-04-09T18:56:42.286321,0
2026-04-09T18:56:42.288280,1
2026-04-09T18:56:42.296613,2
2026-04-09T18:56:42.304946,3
2026-04-09T18:56:42.313279,4
2026-04-09T18:56:42.321612,5
2026-04-09T18:56:42.329945,6
2026-04-09T18:56:42.338278,7
2026-04-09T18:56:42.346611,8
2026-04-09T18:56:42.354944,9
2026-04-09T18:56:42.363277,10
2026-04-09T18:56:42.371610,11
2026-04-09T18:56:42.379943,12
2026-04-09T18:56:42.388276,13
2026-04-09T18:56:42.396609,14
2026-04-09T18:56:42.404942,15
2026-04-09T18:56:42.413275,16
2026-04-09T18:56:42.421608,17
2026-04-09T18:56:42.429941,18
2026-04-09T18:56:42.438274,19
2026-04-09T18:56:42.446607,20
2026-04-09T18:56:42.454940,21
2026-04-09T18:56:42.463273,22
2026-04-09T18:56:42.471606,23
2026-04-09T18:56:42.479939,24
2026-04-09T18:56:42.488272,25
2026-04-09T18:56:42.496605,26
2026-04-09T18:56:42.504938,27
2026-04-09T18:56:42.513271,28
2026-04-09T18:56:42.521604,29
2026-04-09T18:56:42.529937,30
2026-04-09T18:56:42.538270,31
2026-04-09T18:56:42.546603,32
2026-04-09T18:56:42.554936,33
2026-04-09T18:56:42.563269,34
2026-04-09T18:56:42.571602,35
2026-04-09T18:56:42.579935,36
2026-04-09T18:56:42.588268,37
2026-04-09T18:56:42.596601,38
2026-04-09T18:56:42.604934,39
2026-04-09T18:56:42.613267,40
2026-04-09T18:56:42.621600,41
2026-04-09T18:56:42.629933,42
2026-04-09T18:56:42.638266,43
2026-04-09T18:56:42.646599,44
2026-04-09T18:56:42.654932,45
2026-04-09T18:56:42.663265,46
2026-04-09T18:56:42.671598,47
2026-04-09T18:56:42.679931,48
2026-04-09T18:56:42.688264,49
2026-04-09T18:56:42.696597,50
2026-04-09T18:56:42.704930,51
2026-04-09T18:56:42.713263,52
2026-04-09T18:56:42.721596,53
2026-04-09T18:56:42.729929,54
2026-04-09T18:56:42.738262,55
2026-04-09T18:56:42.746595,56
2026-04-09T18:56:42.754928,57
2026-04-09T18:56:42.763261,58
2026-04-09T18:56:42.771594,59
2026-04-09T18:56:42.779927,60
2026-04-09T18:56:42.788260,61
2026-04-09T18:56:42.796593,62
2026-04-09T18:56:42.804926,63
2026-04-09T18:56:42.813259,64
2026-04-09T18:56:42.821592,65
2026-04-09T18:56:42.829925,66
2026-04-09T18:56:42.838258,67
2026-04-09T18:56:42.846591,68
2026-04-09T18:56:42.854924,69
2026-04-09T18:56:42.863257,70
2026-04-09T18:56:42.871590,71
2026-04-09T18:56:42.879923,72
2026-04-09T18:56:42.888256,73
2026-04-09T18:56:42.896589,74
2026-04-09T18:56:42.904922,75
2026-04-09T18:56:42.913255,76
2026-04-09T18:56:42.921588,77
2026-04-09T18:56:42.929921,78
2026-04-09T18:56:42.938254,79
2026-04-09T18:56:42.946587,80
2026-04-09T18:56:42.954920,81
2026-04-09T18:56:42.963253,82
2026-04-09T18:56:42.971586,83
2026-04-09T18:56:42.979919,84
2026-04-09T18:56:42.988252,85
2026-04-09T18:56:42.996585,86
2026-04-09T18:56:43.004918,87
2026-04-09T18:56:43.013251,88
2026-04-09T18:56:43.021584,89
2026-04-09T18:56:43.029917,90
2026-04-09T18:56:43.038250,91
2026-04-09T18:56:43.046583,92
2026-04-09T18:56:43.054916,93
2026-04-09T18:56:43.063249,94
2026-04-09T18:56:43.071582,95
2026-04-09T18:56:43.079915,96
2026-04-09T18:56:43.088248,97
2026-04-09T18:56:43.096581,98
2026-04-09T18:56:43.104914,99
2026-04-09T18:56:43.113247,100
