time,mode_sel.mode_state.0,mode_sel.mode_state.1,mode_sel.mode_state.2,mode_sel.mode_state.3
2026-04-10T20:19:59.888359,0,0,0,0
2026-04-10T20:19:59.890451,1,0,0,0
2026-04-10T20:19:59.898784,0,1,0,0
2026-04-10T20:19:59.907117,1,0,0,0
2026-04-10T20:19:59.915450,0,1,0,0
2026-04-10T20:19:59.923783,1,0,0,0
2026-04-10T20:19:59.932116,0,1,0,0
2026-04-10T20:19:59.940449,1,0,0,0
2026-04-10T20:19:59.948782,0,1,0,0
2026-04-10T20:19:59.957115,1,0,0,0
2026-04-10T20:19:59.965448,0,1,0,0
2026-04-10T20:19:59.973781,1,0,0,0
2026-04-10T20:19:59.982114,0,1,0,0
2026-04-10T20:19:59.990447,1,0,0,0
2026-04-10T20:19:59.998780,0,1,0,0
2026-04-10T20:20:00.007113,1,0,0,0
2026-04-10T20:20:00.015446,0,1,0,0
2026-04-10T20:20:00.023779,1,0,0,0
2026-04-10T20:20:00.032112,0,1,0,0
2026-04-10T20:20:00.040445,1,0,0,0
2026-04-10T20:20:00.048778,0,1,0,0
2026-04-10T20:20:00.057111,1,0,0,0
2026-04-10T20:20:00.065444,0,1,0,0
2026-04-10T20:20:00.073777,1,0,0,0
2026-04-10T20:20:00.082110,0,1,0,0
2026-04-10T20:20:00.090443,1,0,0,0
2026-04-10T20:20:00.098776,0,1,0,0
2026-04-10T20:20:00.107109,1,0,0,0
2026-04-10T20:20:00.115442,0,1,0,0
2026-04-10T20:20:00.123775,1,0,0,0
2026-04-10T20:20:00.132108,0,1,0,0
2026-04-10T20:20:00.140441,1,0,0,0
2026-04-10T20:20:00.148774,0,1,0,0
2026-04-10T20:20:00.157107,1,0,0,0
2026-04-10T20:20:00.165440,0,1,0,0
2026-04-10T20:20:00.173773,1,0,0,0
2026-04-10T20:20:00.182106,0,1,0,0
2026-04-10T20:20:00.190439,1,0,0,0
2026-04-10T20:20:00.198772,0,1,0,0
2026-04-10T20:20:00.207105,1,0,0,0
2026-04-10T20:20:00.215438,0,1,0,0
2026-04-10T20:20:00.223771,1,0,0,0
2026-04-10T20:20:00.232104,0,1,0,0
2026-04-10T20:20:00.240437,1,0,0,0
2026-04-10T20:20:00.248770,0,1,0,0
2026-04-10T20:20:00.257103,1,0,0,0
2026-04-10T20:20:00.265436,0,1,0,0
2026-04-10T20:20:00.273769,1,0,0,0
2026-04-10T20:20:00.282102,0,1,0,0
2026-04-10T20:20:00.290435,1,0,0,0
2026-04-10T20:20:00.298768,0,1,0,0
2026-04-10T20:20:00.307101,1,0,0,0
2026-04-10T20:20:00.315434,0,1,0,0
2026-04-10T20:20:00.323767,1,0,0,0
2026-04-10T20:20:00.332100,0,1,0,0
2026-04-10T20:20:00.340433,1,0,0,0
2026-04-10T20:20:00.348766,0,1,0,0
2026-04-10T20:20:00.357099,1,0,0,0
2026-04-10T20:20:00.365432,0,1,0,0
2026-04-10T20:20:00.373765,1,0,0,0
2026-04-10T20:20:00.382098,0,1,0,0
2026-04-10T20:20:00.390431,1,0,0,0
2026-04-10T20:20:00.398764,0,1,0,0
2026-04-10T20:20:00.407097,1,0,0,0
2026-04-10T20:20:00.415430,0,1,0,0
2026-04-10T20:20:00.423763,1,0,0,0
2026-04-10T20:20:00.432096,0,1,0,0
2026-04-10T20:20:00.440429,1,0,0,0
2026-04-10T20:20:00.448762,0,1,0,0
2026-04-10T20:20:00.457095,1,0,0,0
2026-04-10T20:20:00.465428,0,1,0,0
2026-04-10T20:20:00.473761,1,0,0,0
2026-04-10T20:20:00.482094,0,1,0,0
2026-04-10T20:20:00.490427,1,0,0,0
2026-04-10T20:20:00.498760,0,1,0,0
2026-04-10T20:20:00.507093,1,0,0,0
2026-04-10T20:20:00.515426,0,1,0,0
2026-04-10T20:20:00.523759,1,0,0,0
2026-04-10T20:20:00.532092,0,1,0,0
2026-04-10T20:20:00.540425,1,0,0,0
2026-04-10T20:20:00.548758,0,1,0,0
2026-04-10T20:20:00.557091,1,0,0,0
2026-04-10T20:20:00.565424,0,1,0,0
2026-04-10T20:20:00.573757,1,0,0,0
2026-04-10T20:20:00.582090,0,1,0,0
2026-04-10T20:20:00.590423,1,0,0,0
2026-04-10T20:20:00.598756,0,1,0,0
2026-04-10T20:20:00.607089,1,0,0,0
2026-04-10T20:20:00.615422,0,1,0,0
2026-04-10T20:20:00.623755,1,0,0,0
2026-04-10T20:20:00.632088,0,1,0,0
2026-04-10T20:20:00.640421,1,0,0,0
2026-04-10T20:20:00.648754,0,1,0,0
2026-04-10T20:20:00.657087,1,0,0,0
2026-04-10T20:20:00.665420,0,1,0,0
2026-04-10T20:20:00.673753,1,0,0,0
2026-04-10T20:20:00.682086,0,1,0,0
2026-04-10T20:20:00.690419,1,0,0,0
2026-04-10T20:20:00.698752,0,1,0,0
2026-04-10T20:20:00.707085,1,0,0,0
2026-04-10T20:20:00.715418,0,1,0,0
