time,uint_ops.op_state.0,uint_ops.op_state.1,uint_ops.op_state.2,uint_ops.op_state.3
2026-04-10T00:15:31.666836,0,0,0,0
2026-04-10T00:15:31.668674,1,1,0,0
2026-04-10T00:15:31.677007,2,2,0,0
2026-04-10T00:15:31.685340,3,3,0,0
2026-04-10T00:15:31.693673,3,4,0,0
2026-04-10T00:15:31.702006,3,5,0,0
2026-04-10T00:15:31.710339,3,6,0,0
2026-04-10T00:15:31.718672,3,7,0,0
2026-04-10T00:15:31.727005,3,8,0,0
2026-04-10T00:15:31.735338,3,9,0,0
2026-04-10T00:15:31.743671,3,10,0,0
2026-04-10T00:15:31.752004,3,11,0,0
2026-04-10T00:15:31.760337,3,12,0,0
2026-04-10T00:15:31.768670,3,13,0,0
2026-04-10T00:15:31.777003,3,14,0,0
2026-04-10T00:15:31.785336,3,15,0,0
2026-04-10T00:15:31.793669,3,16,0,0
2026-04-10T00:15:31.802002,3,17,0,0
2026-04-10T00:15:31.810335,3,18,0,0
2026-04-10T00:15:31.818668,3,19,0,0
2026-04-10T00:15:31.827001,3,20,0,0
2026-04-10T00:15:31.835334,3,21,0,0
2026-04-10T00:15:31.843667,3,22,0,0
2026-04-10T00:15:31.852,3,23,0,0
2026-04-10T00:15:31.860333,3,24,0,0
2026-04-10T00:15:31.868666,3,25,0,0
2026-04-10T00:15:31.876999,3,26,0,0
2026-04-10T00:15:31.885332,3,27,0,0
2026-04-10T00:15:31.893665,3,28,0,0
2026-04-10T00:15:31.901998,3,29,0,0
2026-04-10T00:15:31.910331,3,30,0,0
2026-04-10T00:15:31.918664,3,31,0,0
2026-04-10T00:15:31.926997,3,32,0,0
2026-04-10T00:15:31.935330,3,33,0,0
2026-04-10T00:15:31.943663,3,34,0,0
2026-04-10T00:15:31.951996,3,35,0,0
2026-04-10T00:15:31.960329,3,36,0,0
2026-04-10T00:15:31.968662,3,37,0,0
2026-04-10T00:15:31.976995,3,38,0,0
2026-04-10T00:15:31.985328,3,39,0,0
2026-04-10T00:15:31.993661,3,40,0,0
2026-04-10T00:15:32.001994,3,41,0,0
2026-04-10T00:15:32.010327,3,42,0,0
2026-04-10T00:15:32.018660,3,43,0,0
2026-04-10T00:15:32.026993,3,44,0,0
2026-04-10T00:15:32.035326,3,45,0,0
2026-04-10T00:15:32.043659,3,46,0,0
2026-04-10T00:15:32.051992,3,47,0,0
2026-04-10T00:15:32.060325,3,48,0,0
2026-04-10T00:15:32.068658,3,49,0,0
2026-04-10T00:15:32.076991,3,50,0,0
2026-04-10T00:15:32.085324,3,51,0,0
2026-04-10T00:15:32.093657,3,52,0,0
2026-04-10T00:15:32.101990,3,53,0,0
2026-04-10T00:15:32.110323,3,54,0,0
2026-04-10T00:15:32.118656,3,55,0,0
2026-04-10T00:15:32.126989,3,56,0,0
2026-04-10T00:15:32.135322,3,57,0,0
2026-04-10T00:15:32.143655,3,58,0,0
2026-04-10T00:15:32.151988,3,59,0,0
2026-04-10T00:15:32.160321,3,60,0,0
2026-04-10T00:15:32.168654,3,61,0,0
2026-04-10T00:15:32.176987,3,62,0,0
2026-04-10T00:15:32.185320,3,63,0,0
2026-04-10T00:15:32.193653,3,64,0,0
2026-04-10T00:15:32.201986,3,65,0,0
2026-04-10T00:15:32.210319,3,66,0,0
2026-04-10T00:15:32.218652,3,67,0,0
2026-04-10T00:15:32.226985,3,68,0,0
2026-04-10T00:15:32.235318,3,69,0,0
2026-04-10T00:15:32.243651,3,70,0,0
2026-04-10T00:15:32.251984,3,71,0,0
2026-04-10T00:15:32.260317,3,72,0,0
2026-04-10T00:15:32.268650,3,73,0,0
2026-04-10T00:15:32.276983,3,74,0,0
2026-04-10T00:15:32.285316,3,75,0,0
2026-04-10T00:15:32.293649,3,76,0,0
2026-04-10T00:15:32.301982,3,77,0,0
2026-04-10T00:15:32.310315,3,78,0,0
2026-04-10T00:15:32.318648,3,79,0,0
2026-04-10T00:15:32.326981,3,80,0,0
2026-04-10T00:15:32.335314,3,81,0,0
2026-04-10T00:15:32.343647,3,82,0,0
2026-04-10T00:15:32.351980,3,83,0,0
2026-04-10T00:15:32.360313,3,84,0,0
2026-04-10T00:15:32.368646,3,85,0,0
2026-04-10T00:15:32.376979,3,86,0,0
2026-04-10T00:15:32.385312,3,87,0,0
2026-04-10T00:15:32.393645,3,88,0,0
2026-04-10T00:15:32.401978,3,89,0,0
2026-04-10T00:15:32.410311,3,90,0,0
2026-04-10T00:15:32.418644,3,91,0,0
2026-04-10T00:15:32.426977,3,92,0,0
2026-04-10T00:15:32.435310,3,93,0,0
2026-04-10T00:15:32.443643,3,94,0,0
2026-04-10T00:15:32.451976,3,95,0,0
2026-04-10T00:15:32.460309,3,96,0,0
2026-04-10T00:15:32.468642,3,97,0,0
2026-04-10T00:15:32.476975,3,98,0,0
2026-04-10T00:15:32.485308,3,99,0,0
2026-04-10T00:15:32.493641,3,100,0,0
