time,uint_ops.op_transition.0,uint_ops.op_transition.1,uint_ops.op_transition.2,uint_ops.op_transition.3
2026-04-10T20:19:59.888359,1,2,3,0
2026-04-10T20:19:59.890451,1,2,3,0
2026-04-10T20:19:59.898784,1,2,3,0
2026-04-10T20:19:59.907117,1,2,3,0
2026-04-10T20:19:59.915450,1,2,3,0
2026-04-10T20:19:59.923783,1,2,3,0
2026-04-10T20:19:59.932116,1,2,3,0
2026-04-10T20:19:59.940449,1,2,3,0
2026-04-10T20:19:59.948782,1,2,3,0
2026-04-10T20:19:59.957115,1,2,3,0
2026-04-10T20:19:59.965448,1,2,3,0
2026-04-10T20:19:59.973781,1,2,3,0
2026-04-10T20:19:59.982114,1,2,3,0
2026-04-10T20:19:59.990447,1,2,3,0
2026-04-10T20:19:59.998780,1,2,3,0
2026-04-10T20:20:00.007113,1,2,3,0
2026-04-10T20:20:00.015446,1,2,3,0
2026-04-10T20:20:00.023779,1,2,3,0
2026-04-10T20:20:00.032112,1,2,3,0
2026-04-10T20:20:00.040445,1,2,3,0
2026-04-10T20:20:00.048778,1,2,3,0
2026-04-10T20:20:00.057111,1,2,3,0
2026-04-10T20:20:00.065444,1,2,3,0
2026-04-10T20:20:00.073777,1,2,3,0
2026-04-10T20:20:00.082110,1,2,3,0
2026-04-10T20:20:00.090443,1,2,3,0
2026-04-10T20:20:00.098776,1,2,3,0
2026-04-10T20:20:00.107109,1,2,3,0
2026-04-10T20:20:00.115442,1,2,3,0
2026-04-10T20:20:00.123775,1,2,3,0
2026-04-10T20:20:00.132108,1,2,3,0
2026-04-10T20:20:00.140441,1,2,3,0
2026-04-10T20:20:00.148774,1,2,3,0
2026-04-10T20:20:00.157107,1,2,3,0
2026-04-10T20:20:00.165440,1,2,3,0
2026-04-10T20:20:00.173773,1,2,3,0
2026-04-10T20:20:00.182106,1,2,3,0
2026-04-10T20:20:00.190439,1,2,3,0
2026-04-10T20:20:00.198772,1,2,3,0
2026-04-10T20:20:00.207105,1,2,3,0
2026-04-10T20:20:00.215438,1,2,3,0
2026-04-10T20:20:00.223771,1,2,3,0
2026-04-10T20:20:00.232104,1,2,3,0
2026-04-10T20:20:00.240437,1,2,3,0
2026-04-10T20:20:00.248770,1,2,3,0
2026-04-10T20:20:00.257103,1,2,3,0
2026-04-10T20:20:00.265436,1,2,3,0
2026-04-10T20:20:00.273769,1,2,3,0
2026-04-10T20:20:00.282102,1,2,3,0
2026-04-10T20:20:00.290435,1,2,3,0
2026-04-10T20:20:00.298768,1,2,3,0
2026-04-10T20:20:00.307101,1,2,3,0
2026-04-10T20:20:00.315434,1,2,3,0
2026-04-10T20:20:00.323767,1,2,3,0
2026-04-10T20:20:00.332100,1,2,3,0
2026-04-10T20:20:00.340433,1,2,3,0
2026-04-10T20:20:00.348766,1,2,3,0
2026-04-10T20:20:00.357099,1,2,3,0
2026-04-10T20:20:00.365432,1,2,3,0
2026-04-10T20:20:00.373765,1,2,3,0
2026-04-10T20:20:00.382098,1,2,3,0
2026-04-10T20:20:00.390431,1,2,3,0
2026-04-10T20:20:00.398764,1,2,3,0
2026-04-10T20:20:00.407097,1,2,3,0
2026-04-10T20:20:00.415430,1,2,3,0
2026-04-10T20:20:00.423763,1,2,3,0
2026-04-10T20:20:00.432096,1,2,3,0
2026-04-10T20:20:00.440429,1,2,3,0
2026-04-10T20:20:00.448762,1,2,3,0
2026-04-10T20:20:00.457095,1,2,3,0
2026-04-10T20:20:00.465428,1,2,3,0
2026-04-10T20:20:00.473761,1,2,3,0
2026-04-10T20:20:00.482094,1,2,3,0
2026-04-10T20:20:00.490427,1,2,3,0
2026-04-10T20:20:00.498760,1,2,3,0
2026-04-10T20:20:00.507093,1,2,3,0
2026-04-10T20:20:00.515426,1,2,3,0
2026-04-10T20:20:00.523759,1,2,3,0
2026-04-10T20:20:00.532092,1,2,3,0
2026-04-10T20:20:00.540425,1,2,3,0
2026-04-10T20:20:00.548758,1,2,3,0
2026-04-10T20:20:00.557091,1,2,3,0
2026-04-10T20:20:00.565424,1,2,3,0
2026-04-10T20:20:00.573757,1,2,3,0
2026-04-10T20:20:00.582090,1,2,3,0
2026-04-10T20:20:00.590423,1,2,3,0
2026-04-10T20:20:00.598756,1,2,3,0
2026-04-10T20:20:00.607089,1,2,3,0
2026-04-10T20:20:00.615422,1,2,3,0
2026-04-10T20:20:00.623755,1,2,3,0
2026-04-10T20:20:00.632088,1,2,3,0
2026-04-10T20:20:00.640421,1,2,3,0
2026-04-10T20:20:00.648754,1,2,3,0
2026-04-10T20:20:00.657087,1,2,3,0
2026-04-10T20:20:00.665420,1,2,3,0
2026-04-10T20:20:00.673753,1,2,3,0
2026-04-10T20:20:00.682086,1,2,3,0
2026-04-10T20:20:00.690419,1,2,3,0
2026-04-10T20:20:00.698752,1,2,3,0
2026-04-10T20:20:00.707085,1,2,3,0
2026-04-10T20:20:00.715418,1,2,3,0
