time,globals.tick
2026-05-06T20:26:44.173724,0
2026-05-06T20:26:44.180650,1
2026-05-06T20:26:44.188983,2
2026-05-06T20:26:44.197316,3
2026-05-06T20:26:44.205649,4
2026-05-06T20:26:44.213982,5
2026-05-06T20:26:44.222315,6
2026-05-06T20:26:44.230648,7
2026-05-06T20:26:44.238981,8
2026-05-06T20:26:44.247314,9
2026-05-06T20:26:44.255647,10
2026-05-06T20:26:44.263980,11
2026-05-06T20:26:44.272313,12
2026-05-06T20:26:44.280646,13
2026-05-06T20:26:44.288979,14
2026-05-06T20:26:44.297312,15
2026-05-06T20:26:44.305645,16
2026-05-06T20:26:44.313978,17
2026-05-06T20:26:44.322311,18
2026-05-06T20:26:44.330644,19
2026-05-06T20:26:44.338977,20
2026-05-06T20:26:44.347310,21
2026-05-06T20:26:44.355643,22
2026-05-06T20:26:44.363976,23
2026-05-06T20:26:44.372309,24
2026-05-06T20:26:44.380642,25
2026-05-06T20:26:44.388975,26
2026-05-06T20:26:44.397308,27
2026-05-06T20:26:44.405641,28
2026-05-06T20:26:44.413974,29
2026-05-06T20:26:44.422307,30
2026-05-06T20:26:44.430640,31
2026-05-06T20:26:44.438973,32
2026-05-06T20:26:44.447306,33
2026-05-06T20:26:44.455639,34
2026-05-06T20:26:44.463972,35
2026-05-06T20:26:44.472305,36
2026-05-06T20:26:44.480638,37
2026-05-06T20:26:44.488971,38
2026-05-06T20:26:44.497304,39
2026-05-06T20:26:44.505637,40
2026-05-06T20:26:44.513970,41
2026-05-06T20:26:44.522303,42
2026-05-06T20:26:44.530636,43
2026-05-06T20:26:44.538969,44
2026-05-06T20:26:44.547302,45
2026-05-06T20:26:44.555635,46
2026-05-06T20:26:44.563968,47
2026-05-06T20:26:44.572301,48
2026-05-06T20:26:44.580634,49
2026-05-06T20:26:44.588967,50
2026-05-06T20:26:44.597300,51
2026-05-06T20:26:44.605633,52
2026-05-06T20:26:44.613966,53
2026-05-06T20:26:44.622299,54
2026-05-06T20:26:44.630632,55
2026-05-06T20:26:44.638965,56
2026-05-06T20:26:44.647298,57
2026-05-06T20:26:44.655631,58
2026-05-06T20:26:44.663964,59
2026-05-06T20:26:44.672297,60
2026-05-06T20:26:44.680630,61
2026-05-06T20:26:44.688963,62
2026-05-06T20:26:44.697296,63
2026-05-06T20:26:44.705629,64
2026-05-06T20:26:44.713962,65
2026-05-06T20:26:44.722295,66
2026-05-06T20:26:44.730628,67
2026-05-06T20:26:44.738961,68
2026-05-06T20:26:44.747294,69
2026-05-06T20:26:44.755627,70
2026-05-06T20:26:44.763960,71
2026-05-06T20:26:44.772293,72
2026-05-06T20:26:44.780626,73
2026-05-06T20:26:44.788959,74
2026-05-06T20:26:44.797292,75
2026-05-06T20:26:44.805625,76
2026-05-06T20:26:44.813958,77
2026-05-06T20:26:44.822291,78
2026-05-06T20:26:44.830624,79
2026-05-06T20:26:44.838957,80
2026-05-06T20:26:44.847290,81
2026-05-06T20:26:44.855623,82
2026-05-06T20:26:44.863956,83
2026-05-06T20:26:44.872289,84
2026-05-06T20:26:44.880622,85
2026-05-06T20:26:44.888955,86
2026-05-06T20:26:44.897288,87
2026-05-06T20:26:44.905621,88
2026-05-06T20:26:44.913954,89
2026-05-06T20:26:44.922287,90
2026-05-06T20:26:44.930620,91
2026-05-06T20:26:44.938953,92
2026-05-06T20:26:44.947286,93
2026-05-06T20:26:44.955619,94
2026-05-06T20:26:44.963952,95
2026-05-06T20:26:44.972285,96
2026-05-06T20:26:44.980618,97
2026-05-06T20:26:44.988951,98
2026-05-06T20:26:44.997284,99
2026-05-06T20:26:45.005617,100
