time,mode_sel.mode_state_0,mode_sel.mode_state_1,mode_sel.mode_state_2,mode_sel.mode_state_3
2026-08-21T00:30:42.103218,0,0,0,0
2026-08-21T00:30:42.112931,1,0,0,0
2026-08-21T00:30:42.121264,0,1,0,0
2026-08-21T00:30:42.129597,1,0,0,0
2026-08-21T00:30:42.137930,0,1,0,0
2026-08-21T00:30:42.146263,1,0,0,0
2026-08-21T00:30:42.154596,0,1,0,0
2026-08-21T00:30:42.162929,1,0,0,0
2026-08-21T00:30:42.171262,0,1,0,0
2026-08-21T00:30:42.179595,1,0,0,0
2026-08-21T00:30:42.187928,0,1,0,0
2026-08-21T00:30:42.196261,1,0,0,0
2026-08-21T00:30:42.204594,0,1,0,0
2026-08-21T00:30:42.212927,1,0,0,0
2026-08-21T00:30:42.221260,0,1,0,0
2026-08-21T00:30:42.229593,1,0,0,0
2026-08-21T00:30:42.237926,0,1,0,0
2026-08-21T00:30:42.246259,1,0,0,0
2026-08-21T00:30:42.254592,0,1,0,0
2026-08-21T00:30:42.262925,1,0,0,0
2026-08-21T00:30:42.271258,0,1,0,0
2026-08-21T00:30:42.279591,1,0,0,0
2026-08-21T00:30:42.287924,0,1,0,0
2026-08-21T00:30:42.296257,1,0,0,0
2026-08-21T00:30:42.304590,0,1,0,0
2026-08-21T00:30:42.312923,1,0,0,0
2026-08-21T00:30:42.321256,0,1,0,0
2026-08-21T00:30:42.329589,1,0,0,0
2026-08-21T00:30:42.337922,0,1,0,0
2026-08-21T00:30:42.346255,1,0,0,0
2026-08-21T00:30:42.354588,0,1,0,0
2026-08-21T00:30:42.362921,1,0,0,0
2026-08-21T00:30:42.371254,0,1,0,0
2026-08-21T00:30:42.379587,1,0,0,0
2026-08-21T00:30:42.387920,0,1,0,0
2026-08-21T00:30:42.396253,1,0,0,0
2026-08-21T00:30:42.404586,0,1,0,0
2026-08-21T00:30:42.412919,1,0,0,0
2026-08-21T00:30:42.421252,0,1,0,0
2026-08-21T00:30:42.429585,1,0,0,0
2026-08-21T00:30:42.437918,0,1,0,0
2026-08-21T00:30:42.446251,1,0,0,0
2026-08-21T00:30:42.454584,0,1,0,0
2026-08-21T00:30:42.462917,1,0,0,0
2026-08-21T00:30:42.471250,0,1,0,0
2026-08-21T00:30:42.479583,1,0,0,0
2026-08-21T00:30:42.487916,0,1,0,0
2026-08-21T00:30:42.496249,1,0,0,0
2026-08-21T00:30:42.504582,0,1,0,0
2026-08-21T00:30:42.512915,1,0,0,0
2026-08-21T00:30:42.521248,0,1,0,0
2026-08-21T00:30:42.529581,1,0,0,0
2026-08-21T00:30:42.537914,0,1,0,0
2026-08-21T00:30:42.546247,1,0,0,0
2026-08-21T00:30:42.554580,0,1,0,0
2026-08-21T00:30:42.562913,1,0,0,0
2026-08-21T00:30:42.571246,0,1,0,0
2026-08-21T00:30:42.579579,1,0,0,0
2026-08-21T00:30:42.587912,0,1,0,0
2026-08-21T00:30:42.596245,1,0,0,0
2026-08-21T00:30:42.604578,0,1,0,0
2026-08-21T00:30:42.612911,1,0,0,0
2026-08-21T00:30:42.621244,0,1,0,0
2026-08-21T00:30:42.629577,1,0,0,0
2026-08-21T00:30:42.637910,0,1,0,0
2026-08-21T00:30:42.646243,1,0,0,0
2026-08-21T00:30:42.654576,0,1,0,0
2026-08-21T00:30:42.662909,1,0,0,0
2026-08-21T00:30:42.671242,0,1,0,0
2026-08-21T00:30:42.679575,1,0,0,0
2026-08-21T00:30:42.687908,0,1,0,0
2026-08-21T00:30:42.696241,1,0,0,0
2026-08-21T00:30:42.704574,0,1,0,0
2026-08-21T00:30:42.712907,1,0,0,0
2026-08-21T00:30:42.721240,0,1,0,0
2026-08-21T00:30:42.729573,1,0,0,0
2026-08-21T00:30:42.737906,0,1,0,0
2026-08-21T00:30:42.746239,1,0,0,0
2026-08-21T00:30:42.754572,0,1,0,0
2026-08-21T00:30:42.762905,1,0,0,0
2026-08-21T00:30:42.771238,0,1,0,0
2026-08-21T00:30:42.779571,1,0,0,0
2026-08-21T00:30:42.787904,0,1,0,0
2026-08-21T00:30:42.796237,1,0,0,0
2026-08-21T00:30:42.804570,0,1,0,0
2026-08-21T00:30:42.812903,1,0,0,0
2026-08-21T00:30:42.821236,0,1,0,0
2026-08-21T00:30:42.829569,1,0,0,0
2026-08-21T00:30:42.837902,0,1,0,0
2026-08-21T00:30:42.846235,1,0,0,0
2026-08-21T00:30:42.854568,0,1,0,0
2026-08-21T00:30:42.862901,1,0,0,0
2026-08-21T00:30:42.871234,0,1,0,0
2026-08-21T00:30:42.879567,1,0,0,0
2026-08-21T00:30:42.887900,0,1,0,0
2026-08-21T00:30:42.896233,1,0,0,0
2026-08-21T00:30:42.904566,0,1,0,0
2026-08-21T00:30:42.912899,1,0,0,0
2026-08-21T00:30:42.921232,0,1,0,0
2026-08-21T00:30:42.929565,1,0,0,0
2026-08-21T00:30:42.937898,0,1,0,0
