time,Globals.tick
2026-03-20T06:13:50.177785,0
2026-03-20T06:13:50.181222,1
2026-03-20T06:13:50.189555,2
2026-03-20T06:13:50.197888,3
2026-03-20T06:13:50.206221,4
2026-03-20T06:13:50.214554,5
2026-03-20T06:13:50.222887,6
2026-03-20T06:13:50.231220,7
2026-03-20T06:13:50.239553,8
2026-03-20T06:13:50.247886,9
2026-03-20T06:13:50.256219,10
2026-03-20T06:13:50.264552,11
2026-03-20T06:13:50.272885,12
2026-03-20T06:13:50.281218,13
2026-03-20T06:13:50.289551,14
2026-03-20T06:13:50.297884,15
2026-03-20T06:13:50.306217,16
2026-03-20T06:13:50.314550,17
2026-03-20T06:13:50.322883,18
2026-03-20T06:13:50.331216,19
2026-03-20T06:13:50.339549,20
2026-03-20T06:13:50.347882,21
2026-03-20T06:13:50.356215,22
2026-03-20T06:13:50.364548,23
2026-03-20T06:13:50.372881,24
2026-03-20T06:13:50.381214,25
2026-03-20T06:13:50.389547,26
2026-03-20T06:13:50.397880,27
2026-03-20T06:13:50.406213,28
2026-03-20T06:13:50.414546,29
2026-03-20T06:13:50.422879,30
2026-03-20T06:13:50.431212,31
2026-03-20T06:13:50.439545,32
2026-03-20T06:13:50.447878,33
2026-03-20T06:13:50.456211,34
2026-03-20T06:13:50.464544,35
2026-03-20T06:13:50.472877,36
2026-03-20T06:13:50.481210,37
2026-03-20T06:13:50.489543,38
2026-03-20T06:13:50.497876,39
2026-03-20T06:13:50.506209,40
2026-03-20T06:13:50.514542,41
2026-03-20T06:13:50.522875,42
2026-03-20T06:13:50.531208,43
2026-03-20T06:13:50.539541,44
2026-03-20T06:13:50.547874,45
2026-03-20T06:13:50.556207,46
2026-03-20T06:13:50.564540,47
2026-03-20T06:13:50.572873,48
2026-03-20T06:13:50.581206,49
2026-03-20T06:13:50.589539,50
2026-03-20T06:13:50.597872,51
2026-03-20T06:13:50.606205,52
2026-03-20T06:13:50.614538,53
2026-03-20T06:13:50.622871,54
2026-03-20T06:13:50.631204,55
2026-03-20T06:13:50.639537,56
2026-03-20T06:13:50.647870,57
2026-03-20T06:13:50.656203,58
2026-03-20T06:13:50.664536,59
2026-03-20T06:13:50.672869,60
2026-03-20T06:13:50.681202,61
2026-03-20T06:13:50.689535,62
2026-03-20T06:13:50.697868,63
2026-03-20T06:13:50.706201,64
2026-03-20T06:13:50.714534,65
2026-03-20T06:13:50.722867,66
2026-03-20T06:13:50.731200,67
2026-03-20T06:13:50.739533,68
2026-03-20T06:13:50.747866,69
2026-03-20T06:13:50.756199,70
2026-03-20T06:13:50.764532,71
2026-03-20T06:13:50.772865,72
2026-03-20T06:13:50.781198,73
2026-03-20T06:13:50.789531,74
2026-03-20T06:13:50.797864,75
2026-03-20T06:13:50.806197,76
2026-03-20T06:13:50.814530,77
2026-03-20T06:13:50.822863,78
2026-03-20T06:13:50.831196,79
2026-03-20T06:13:50.839529,80
2026-03-20T06:13:50.847862,81
2026-03-20T06:13:50.856195,82
2026-03-20T06:13:50.864528,83
2026-03-20T06:13:50.872861,84
2026-03-20T06:13:50.881194,85
2026-03-20T06:13:50.889527,86
2026-03-20T06:13:50.897860,87
2026-03-20T06:13:50.906193,88
2026-03-20T06:13:50.914526,89
2026-03-20T06:13:50.922859,90
2026-03-20T06:13:50.931192,91
2026-03-20T06:13:50.939525,92
2026-03-20T06:13:50.947858,93
2026-03-20T06:13:50.956191,94
2026-03-20T06:13:50.964524,95
2026-03-20T06:13:50.972857,96
2026-03-20T06:13:50.981190,97
2026-03-20T06:13:50.989523,98
2026-03-20T06:13:50.997856,99
2026-03-20T06:13:51.006189,100
