time,Globals.tick
2026-04-15T20:03:22.100924,0
2026-04-15T20:03:22.107054,1
2026-04-15T20:03:22.115387,2
2026-04-15T20:03:22.123720,3
2026-04-15T20:03:22.132053,4
2026-04-15T20:03:22.140386,5
2026-04-15T20:03:22.148719,6
2026-04-15T20:03:22.157052,7
2026-04-15T20:03:22.165385,8
2026-04-15T20:03:22.173718,9
2026-04-15T20:03:22.182051,10
2026-04-15T20:03:22.190384,11
2026-04-15T20:03:22.198717,12
2026-04-15T20:03:22.207050,13
2026-04-15T20:03:22.215383,14
2026-04-15T20:03:22.223716,15
2026-04-15T20:03:22.232049,16
2026-04-15T20:03:22.240382,17
2026-04-15T20:03:22.248715,18
2026-04-15T20:03:22.257048,19
2026-04-15T20:03:22.265381,20
2026-04-15T20:03:22.273714,21
2026-04-15T20:03:22.282047,22
2026-04-15T20:03:22.290380,23
2026-04-15T20:03:22.298713,24
2026-04-15T20:03:22.307046,25
2026-04-15T20:03:22.315379,26
2026-04-15T20:03:22.323712,27
2026-04-15T20:03:22.332045,28
2026-04-15T20:03:22.340378,29
2026-04-15T20:03:22.348711,30
2026-04-15T20:03:22.357044,31
2026-04-15T20:03:22.365377,32
2026-04-15T20:03:22.373710,33
2026-04-15T20:03:22.382043,34
2026-04-15T20:03:22.390376,35
2026-04-15T20:03:22.398709,36
2026-04-15T20:03:22.407042,37
2026-04-15T20:03:22.415375,38
2026-04-15T20:03:22.423708,39
2026-04-15T20:03:22.432041,40
2026-04-15T20:03:22.440374,41
2026-04-15T20:03:22.448707,42
2026-04-15T20:03:22.457040,43
2026-04-15T20:03:22.465373,44
2026-04-15T20:03:22.473706,45
2026-04-15T20:03:22.482039,46
2026-04-15T20:03:22.490372,47
2026-04-15T20:03:22.498705,48
2026-04-15T20:03:22.507038,49
2026-04-15T20:03:22.515371,50
2026-04-15T20:03:22.523704,51
2026-04-15T20:03:22.532037,52
2026-04-15T20:03:22.540370,53
2026-04-15T20:03:22.548703,54
2026-04-15T20:03:22.557036,55
2026-04-15T20:03:22.565369,56
2026-04-15T20:03:22.573702,57
2026-04-15T20:03:22.582035,58
2026-04-15T20:03:22.590368,59
2026-04-15T20:03:22.598701,60
2026-04-15T20:03:22.607034,61
2026-04-15T20:03:22.615367,62
2026-04-15T20:03:22.623700,63
2026-04-15T20:03:22.632033,64
2026-04-15T20:03:22.640366,65
2026-04-15T20:03:22.648699,66
2026-04-15T20:03:22.657032,67
2026-04-15T20:03:22.665365,68
2026-04-15T20:03:22.673698,69
2026-04-15T20:03:22.682031,70
2026-04-15T20:03:22.690364,71
2026-04-15T20:03:22.698697,72
2026-04-15T20:03:22.707030,73
2026-04-15T20:03:22.715363,74
2026-04-15T20:03:22.723696,75
2026-04-15T20:03:22.732029,76
2026-04-15T20:03:22.740362,77
2026-04-15T20:03:22.748695,78
2026-04-15T20:03:22.757028,79
2026-04-15T20:03:22.765361,80
2026-04-15T20:03:22.773694,81
2026-04-15T20:03:22.782027,82
2026-04-15T20:03:22.790360,83
2026-04-15T20:03:22.798693,84
2026-04-15T20:03:22.807026,85
2026-04-15T20:03:22.815359,86
2026-04-15T20:03:22.823692,87
2026-04-15T20:03:22.832025,88
2026-04-15T20:03:22.840358,89
2026-04-15T20:03:22.848691,90
2026-04-15T20:03:22.857024,91
2026-04-15T20:03:22.865357,92
2026-04-15T20:03:22.873690,93
2026-04-15T20:03:22.882023,94
2026-04-15T20:03:22.890356,95
2026-04-15T20:03:22.898689,96
2026-04-15T20:03:22.907022,97
2026-04-15T20:03:22.915355,98
2026-04-15T20:03:22.923688,99
2026-04-15T20:03:22.932021,100
