time,bits.bitwise_state_0,bits.bitwise_state_1,bits.bitwise_state_2,bits.bitwise_state_3
2026-08-21T00:30:44.111833,165,60,255,1
2026-08-21T00:30:44.119314,47,103,7,127
2026-08-21T00:30:44.127647,111,79,127,71
2026-08-21T00:30:44.135980,79,95,71,95
2026-08-21T00:30:44.144313,95,87,95,87
2026-08-21T00:30:44.152646,87,87,87,87
2026-08-21T00:30:44.160979,87,87,87,87
2026-08-21T00:30:44.169312,87,87,87,87
2026-08-21T00:30:44.177645,87,87,87,87
2026-08-21T00:30:44.185978,87,87,87,87
2026-08-21T00:30:44.194311,87,87,87,87
2026-08-21T00:30:44.202644,87,87,87,87
2026-08-21T00:30:44.210977,87,87,87,87
2026-08-21T00:30:44.219310,87,87,87,87
2026-08-21T00:30:44.227643,87,87,87,87
2026-08-21T00:30:44.235976,87,87,87,87
2026-08-21T00:30:44.244309,87,87,87,87
2026-08-21T00:30:44.252642,87,87,87,87
2026-08-21T00:30:44.260975,87,87,87,87
2026-08-21T00:30:44.269308,87,87,87,87
2026-08-21T00:30:44.277641,87,87,87,87
2026-08-21T00:30:44.285974,87,87,87,87
2026-08-21T00:30:44.294307,87,87,87,87
2026-08-21T00:30:44.302640,87,87,87,87
2026-08-21T00:30:44.310973,87,87,87,87
2026-08-21T00:30:44.319306,87,87,87,87
2026-08-21T00:30:44.327639,87,87,87,87
2026-08-21T00:30:44.335972,87,87,87,87
2026-08-21T00:30:44.344305,87,87,87,87
2026-08-21T00:30:44.352638,87,87,87,87
2026-08-21T00:30:44.360971,87,87,87,87
2026-08-21T00:30:44.369304,87,87,87,87
2026-08-21T00:30:44.377637,87,87,87,87
2026-08-21T00:30:44.385970,87,87,87,87
2026-08-21T00:30:44.394303,87,87,87,87
2026-08-21T00:30:44.402636,87,87,87,87
2026-08-21T00:30:44.410969,87,87,87,87
2026-08-21T00:30:44.419302,87,87,87,87
2026-08-21T00:30:44.427635,87,87,87,87
2026-08-21T00:30:44.435968,87,87,87,87
2026-08-21T00:30:44.444301,87,87,87,87
2026-08-21T00:30:44.452634,87,87,87,87
2026-08-21T00:30:44.460967,87,87,87,87
2026-08-21T00:30:44.469300,87,87,87,87
2026-08-21T00:30:44.477633,87,87,87,87
2026-08-21T00:30:44.485966,87,87,87,87
2026-08-21T00:30:44.494299,87,87,87,87
2026-08-21T00:30:44.502632,87,87,87,87
2026-08-21T00:30:44.510965,87,87,87,87
2026-08-21T00:30:44.519298,87,87,87,87
2026-08-21T00:30:44.527631,87,87,87,87
2026-08-21T00:30:44.535964,87,87,87,87
2026-08-21T00:30:44.544297,87,87,87,87
2026-08-21T00:30:44.552630,87,87,87,87
2026-08-21T00:30:44.560963,87,87,87,87
2026-08-21T00:30:44.569296,87,87,87,87
2026-08-21T00:30:44.577629,87,87,87,87
2026-08-21T00:30:44.585962,87,87,87,87
2026-08-21T00:30:44.594295,87,87,87,87
2026-08-21T00:30:44.602628,87,87,87,87
2026-08-21T00:30:44.610961,87,87,87,87
2026-08-21T00:30:44.619294,87,87,87,87
2026-08-21T00:30:44.627627,87,87,87,87
2026-08-21T00:30:44.635960,87,87,87,87
2026-08-21T00:30:44.644293,87,87,87,87
2026-08-21T00:30:44.652626,87,87,87,87
2026-08-21T00:30:44.660959,87,87,87,87
2026-08-21T00:30:44.669292,87,87,87,87
2026-08-21T00:30:44.677625,87,87,87,87
2026-08-21T00:30:44.685958,87,87,87,87
2026-08-21T00:30:44.694291,87,87,87,87
2026-08-21T00:30:44.702624,87,87,87,87
2026-08-21T00:30:44.710957,87,87,87,87
2026-08-21T00:30:44.719290,87,87,87,87
2026-08-21T00:30:44.727623,87,87,87,87
2026-08-21T00:30:44.735956,87,87,87,87
2026-08-21T00:30:44.744289,87,87,87,87
2026-08-21T00:30:44.752622,87,87,87,87
2026-08-21T00:30:44.760955,87,87,87,87
2026-08-21T00:30:44.769288,87,87,87,87
2026-08-21T00:30:44.777621,87,87,87,87
2026-08-21T00:30:44.785954,87,87,87,87
2026-08-21T00:30:44.794287,87,87,87,87
2026-08-21T00:30:44.802620,87,87,87,87
2026-08-21T00:30:44.810953,87,87,87,87
2026-08-21T00:30:44.819286,87,87,87,87
2026-08-21T00:30:44.827619,87,87,87,87
2026-08-21T00:30:44.835952,87,87,87,87
2026-08-21T00:30:44.844285,87,87,87,87
2026-08-21T00:30:44.852618,87,87,87,87
2026-08-21T00:30:44.860951,87,87,87,87
2026-08-21T00:30:44.869284,87,87,87,87
2026-08-21T00:30:44.877617,87,87,87,87
2026-08-21T00:30:44.885950,87,87,87,87
2026-08-21T00:30:44.894283,87,87,87,87
2026-08-21T00:30:44.902616,87,87,87,87
2026-08-21T00:30:44.910949,87,87,87,87
2026-08-21T00:30:44.919282,87,87,87,87
2026-08-21T00:30:44.927615,87,87,87,87
2026-08-21T00:30:44.935948,87,87,87,87
2026-08-21T00:30:44.944281,87,87,87,87
