time,globals.tick
2026-05-06T20:26:46.083223,0
2026-05-06T20:26:46.084623,1
2026-05-06T20:26:46.092956,2
2026-05-06T20:26:46.101289,3
2026-05-06T20:26:46.109622,4
2026-05-06T20:26:46.117955,5
2026-05-06T20:26:46.126288,6
2026-05-06T20:26:46.134621,7
2026-05-06T20:26:46.142954,8
2026-05-06T20:26:46.151287,9
2026-05-06T20:26:46.159620,10
2026-05-06T20:26:46.167953,11
2026-05-06T20:26:46.176286,12
2026-05-06T20:26:46.184619,13
2026-05-06T20:26:46.192952,14
2026-05-06T20:26:46.201285,15
2026-05-06T20:26:46.209618,16
2026-05-06T20:26:46.217951,17
2026-05-06T20:26:46.226284,18
2026-05-06T20:26:46.234617,19
2026-05-06T20:26:46.242950,20
2026-05-06T20:26:46.251283,21
2026-05-06T20:26:46.259616,22
2026-05-06T20:26:46.267949,23
2026-05-06T20:26:46.276282,24
2026-05-06T20:26:46.284615,25
2026-05-06T20:26:46.292948,26
2026-05-06T20:26:46.301281,27
2026-05-06T20:26:46.309614,28
2026-05-06T20:26:46.317947,29
2026-05-06T20:26:46.326280,30
2026-05-06T20:26:46.334613,31
2026-05-06T20:26:46.342946,32
2026-05-06T20:26:46.351279,33
2026-05-06T20:26:46.359612,34
2026-05-06T20:26:46.367945,35
2026-05-06T20:26:46.376278,36
2026-05-06T20:26:46.384611,37
2026-05-06T20:26:46.392944,38
2026-05-06T20:26:46.401277,39
2026-05-06T20:26:46.409610,40
2026-05-06T20:26:46.417943,41
2026-05-06T20:26:46.426276,42
2026-05-06T20:26:46.434609,43
2026-05-06T20:26:46.442942,44
2026-05-06T20:26:46.451275,45
2026-05-06T20:26:46.459608,46
2026-05-06T20:26:46.467941,47
2026-05-06T20:26:46.476274,48
2026-05-06T20:26:46.484607,49
2026-05-06T20:26:46.492940,50
2026-05-06T20:26:46.501273,51
2026-05-06T20:26:46.509606,52
2026-05-06T20:26:46.517939,53
2026-05-06T20:26:46.526272,54
2026-05-06T20:26:46.534605,55
2026-05-06T20:26:46.542938,56
2026-05-06T20:26:46.551271,57
2026-05-06T20:26:46.559604,58
2026-05-06T20:26:46.567937,59
2026-05-06T20:26:46.576270,60
2026-05-06T20:26:46.584603,61
2026-05-06T20:26:46.592936,62
2026-05-06T20:26:46.601269,63
2026-05-06T20:26:46.609602,64
2026-05-06T20:26:46.617935,65
2026-05-06T20:26:46.626268,66
2026-05-06T20:26:46.634601,67
2026-05-06T20:26:46.642934,68
2026-05-06T20:26:46.651267,69
2026-05-06T20:26:46.659600,70
2026-05-06T20:26:46.667933,71
2026-05-06T20:26:46.676266,72
2026-05-06T20:26:46.684599,73
2026-05-06T20:26:46.692932,74
2026-05-06T20:26:46.701265,75
2026-05-06T20:26:46.709598,76
2026-05-06T20:26:46.717931,77
2026-05-06T20:26:46.726264,78
2026-05-06T20:26:46.734597,79
2026-05-06T20:26:46.742930,80
2026-05-06T20:26:46.751263,81
2026-05-06T20:26:46.759596,82
2026-05-06T20:26:46.767929,83
2026-05-06T20:26:46.776262,84
2026-05-06T20:26:46.784595,85
2026-05-06T20:26:46.792928,86
2026-05-06T20:26:46.801261,87
2026-05-06T20:26:46.809594,88
2026-05-06T20:26:46.817927,89
2026-05-06T20:26:46.826260,90
2026-05-06T20:26:46.834593,91
2026-05-06T20:26:46.842926,92
2026-05-06T20:26:46.851259,93
2026-05-06T20:26:46.859592,94
2026-05-06T20:26:46.867925,95
2026-05-06T20:26:46.876258,96
2026-05-06T20:26:46.884591,97
2026-05-06T20:26:46.892924,98
2026-05-06T20:26:46.901257,99
2026-05-06T20:26:46.909590,100
