time,Globals.tick
2026-04-19T15:52:12.935760,0
2026-04-19T15:52:12.945088,1
2026-04-19T15:52:12.953421,2
2026-04-19T15:52:12.961754,3
2026-04-19T15:52:12.970087,4
2026-04-19T15:52:12.978420,5
2026-04-19T15:52:12.986753,6
2026-04-19T15:52:12.995086,7
2026-04-19T15:52:13.003419,8
2026-04-19T15:52:13.011752,9
2026-04-19T15:52:13.020085,10
2026-04-19T15:52:13.028418,11
2026-04-19T15:52:13.036751,12
2026-04-19T15:52:13.045084,13
2026-04-19T15:52:13.053417,14
2026-04-19T15:52:13.061750,15
2026-04-19T15:52:13.070083,16
2026-04-19T15:52:13.078416,17
2026-04-19T15:52:13.086749,18
2026-04-19T15:52:13.095082,19
2026-04-19T15:52:13.103415,20
2026-04-19T15:52:13.111748,21
2026-04-19T15:52:13.120081,22
2026-04-19T15:52:13.128414,23
2026-04-19T15:52:13.136747,24
2026-04-19T15:52:13.145080,25
2026-04-19T15:52:13.153413,26
2026-04-19T15:52:13.161746,27
2026-04-19T15:52:13.170079,28
2026-04-19T15:52:13.178412,29
2026-04-19T15:52:13.186745,30
2026-04-19T15:52:13.195078,31
2026-04-19T15:52:13.203411,32
2026-04-19T15:52:13.211744,33
2026-04-19T15:52:13.220077,34
2026-04-19T15:52:13.228410,35
2026-04-19T15:52:13.236743,36
2026-04-19T15:52:13.245076,37
2026-04-19T15:52:13.253409,38
2026-04-19T15:52:13.261742,39
2026-04-19T15:52:13.270075,40
2026-04-19T15:52:13.278408,41
2026-04-19T15:52:13.286741,42
2026-04-19T15:52:13.295074,43
2026-04-19T15:52:13.303407,44
2026-04-19T15:52:13.311740,45
2026-04-19T15:52:13.320073,46
2026-04-19T15:52:13.328406,47
2026-04-19T15:52:13.336739,48
2026-04-19T15:52:13.345072,49
2026-04-19T15:52:13.353405,50
2026-04-19T15:52:13.361738,51
2026-04-19T15:52:13.370071,52
2026-04-19T15:52:13.378404,53
2026-04-19T15:52:13.386737,54
2026-04-19T15:52:13.395070,55
2026-04-19T15:52:13.403403,56
2026-04-19T15:52:13.411736,57
2026-04-19T15:52:13.420069,58
2026-04-19T15:52:13.428402,59
2026-04-19T15:52:13.436735,60
2026-04-19T15:52:13.445068,61
2026-04-19T15:52:13.453401,62
2026-04-19T15:52:13.461734,63
2026-04-19T15:52:13.470067,64
2026-04-19T15:52:13.478400,65
2026-04-19T15:52:13.486733,66
2026-04-19T15:52:13.495066,67
2026-04-19T15:52:13.503399,68
2026-04-19T15:52:13.511732,69
2026-04-19T15:52:13.520065,70
2026-04-19T15:52:13.528398,71
2026-04-19T15:52:13.536731,72
2026-04-19T15:52:13.545064,73
2026-04-19T15:52:13.553397,74
2026-04-19T15:52:13.561730,75
2026-04-19T15:52:13.570063,76
2026-04-19T15:52:13.578396,77
2026-04-19T15:52:13.586729,78
2026-04-19T15:52:13.595062,79
2026-04-19T15:52:13.603395,80
2026-04-19T15:52:13.611728,81
2026-04-19T15:52:13.620061,82
2026-04-19T15:52:13.628394,83
2026-04-19T15:52:13.636727,84
2026-04-19T15:52:13.645060,85
2026-04-19T15:52:13.653393,86
2026-04-19T15:52:13.661726,87
2026-04-19T15:52:13.670059,88
2026-04-19T15:52:13.678392,89
2026-04-19T15:52:13.686725,90
2026-04-19T15:52:13.695058,91
2026-04-19T15:52:13.703391,92
2026-04-19T15:52:13.711724,93
2026-04-19T15:52:13.720057,94
2026-04-19T15:52:13.728390,95
2026-04-19T15:52:13.736723,96
2026-04-19T15:52:13.745056,97
2026-04-19T15:52:13.753389,98
2026-04-19T15:52:13.761722,99
2026-04-19T15:52:13.770055,100
