time,a.force_τx,a.force_τy,a.force_τz,a.force_x,a.force_y,a.force_z
2026-05-06T20:26:46.884738,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-06T20:26:46.892500,0.0,0.0,0.0,-18113867211.933968,-119818842.60296087,0.0
2026-05-06T20:26:46.900833,0.0,0.0,0.0,-18106414015.870106,-239725961.8372469,0.0
2026-05-06T20:26:46.909166,0.0,0.0,0.0,-18094024281.36418,-359871615.8296075,0.0
2026-05-06T20:26:46.917499,0.0,0.0,0.0,-18076749098.293762,-480372292.61726546,0.0
2026-05-06T20:26:46.925832,0.0,0.0,0.0,-18054659041.594322,-601341082.7758636,0.0
2026-05-06T20:26:46.934165,0.0,0.0,0.0,-18027843234.006237,-722886653.4964359,0.0
2026-05-06T20:26:46.942498,0.0,0.0,0.0,-17996408182.198315,-845112310.1657889,0.0
2026-05-06T20:26:46.950831,0.0,0.0,0.0,-17960476414.999092,-968115161.6120543,0.0
2026-05-06T20:26:46.959164,0.0,0.0,0.0,-17920184956.419052,-1091985401.7930048,0.0
2026-05-06T20:26:46.967497,0.0,0.0,0.0,-17875683668.861565,-1216805717.0441837,0.0
2026-05-06T20:26:46.975830,0.0,0.0,0.0,-17827133503.359512,-1342650824.2370028,0.0
2026-05-06T20:26:46.984163,0.0,0.0,0.0,-17774704693.859047,-1469587141.487618,0.0
2026-05-06T20:26:46.992496,0.0,0.0,0.0,-17718574931.586327,-1597672589.5545762,0.0
2026-05-06T20:26:47.000829,0.0,0.0,0.0,-17658927553.50638,-1726956518.8926618,0.0
2026-05-06T20:26:47.009162,0.0,0.0,0.0,-17595949775.98653,-1857479754.5900655,0.0
2026-05-06T20:26:47.017495,0.0,0.0,0.0,-17529831001.19856,-1989274749.1727805,0.0
2026-05-06T20:26:47.025828,0.0,0.0,0.0,-17460761219.739803,-2122365831.5499673,0.0
2026-05-06T20:26:47.034161,0.0,0.0,0.0,-17388929528.621277,-2256769539.2033134,0.0
2026-05-06T20:26:47.042494,0.0,0.0,0.0,-17314522779.35083,-2392495020.0728083,0.0
2026-05-06T20:26:47.050827,0.0,0.0,0.0,-17237724366.497818,-2529544490.420256,0.0
2026-05-06T20:26:47.059160,0.0,0.0,0.0,-17158713163.00467,-2667913735.2036567,0.0
2026-05-06T20:26:47.067493,0.0,0.0,0.0,-17077662604.722397,-2807592638.1033897,0.0
2026-05-06T20:26:47.075826,0.0,0.0,0.0,-16994739923.271927,-2948565729.2324114,0.0
2026-05-06T20:26:47.084159,0.0,0.0,0.0,-16910105523.425385,-3090812739.6645174,0.0
2026-05-06T20:26:47.092492,0.0,0.0,0.0,-16823912498.783566,-3234309153.1567655,0.0
2026-05-06T20:26:47.100825,0.0,0.0,0.0,-16736306277.60287,-3379026746.760641,0.0
2026-05-06T20:26:47.109158,0.0,0.0,0.0,-16647424389.176796,-3524934113.3549137,0.0
2026-05-06T20:26:47.117491,0.0,0.0,0.0,-16557396340.173248,-3671997160.4446344,0.0
2026-05-06T20:26:47.125824,0.0,0.0,0.0,-16466343589.725605,-3820179580.817539,0.0
2026-05-06T20:26:47.134157,0.0,0.0,0.0,-16374379611.823614,-3969443291.803353,0.0
2026-05-06T20:26:47.142490,0.0,0.0,0.0,-16281610033.596367,-4119748840.923312,0.0
2026-05-06T20:26:47.150823,0.0,0.0,0.0,-16188132838.371399,-4271055776.635418,0.0
2026-05-06T20:26:47.159156,0.0,0.0,0.0,-16094038622.87873,-4423322983.669949,0.0
2026-05-06T20:26:47.167489,0.0,0.0,0.0,-15999410898.600224,-4576508983.110639,0.0
2026-05-06T20:26:47.175822,0.0,0.0,0.0,-15904326427.997604,-4730572197.913763,0.0
2026-05-06T20:26:47.184155,0.0,0.0,0.0,-15808855587.151272,-4885471184.978662,0.0
2026-05-06T20:26:47.192488,0.0,0.0,0.0,-15713062747.17208,-5041164835.198459,0.0
2026-05-06T20:26:47.200821,0.0,0.0,0.0,-15617006667.584515,-5197612543.140694,0.0
2026-05-06T20:26:47.209154,0.0,0.0,0.0,-15520740895.698978,-5354774348.145787,0.0
2026-05-06T20:26:47.217487,0.0,0.0,0.0,-15424314166.778307,-5512611048.699093,0.0
2026-05-06T20:26:47.225820,0.0,0.0,0.0,-15327770800.544651,-5671084291.940757,0.0
2026-05-06T20:26:47.234153,0.0,0.0,0.0,-15231151090.261143,-5830156640.138199,0.0
2026-05-06T20:26:47.242486,0.0,0.0,0.0,-15134491681.250895,-5989791615.867973,0.0
2026-05-06T20:26:47.250819,0.0,0.0,0.0,-15037825936.282307,-6149953727.546463,0.0
2026-05-06T20:26:47.259152,0.0,0.0,0.0,-14941184285.753654,-6310608476.820108,0.0
2026-05-06T20:26:47.267485,0.0,0.0,0.0,-14844594561.051609,-6471722349.182127,0.0
2026-05-06T20:26:47.275818,0.0,0.0,0.0,-14748082309.841028,-6633262789.030134,0.0
2026-05-06T20:26:47.284151,0.0,0.0,0.0,-14651671092.369705,-6795198160.222521,0.0
2026-05-06T20:26:47.292484,0.0,0.0,0.0,-14555382758.144972,-6957497693.034682,0.0
2026-05-06T20:26:47.300817,0.0,0.0,0.0,-14459237702.564728,-7120131418.26317,0.0
2026-05-06T20:26:47.309150,0.0,0.0,0.0,-14363255103.2656,-7283070089.078516,0.0
2026-05-06T20:26:47.317483,0.0,0.0,0.0,-14267453136.09211,-7446285091.088932,0.0
2026-05-06T20:26:47.325816,0.0,0.0,0.0,-14171849170.695644,-7609748340.948691,0.0
2026-05-06T20:26:47.334149,0.0,0.0,0.0,-14076459945.844936,-7773432173.728439,0.0
2026-05-06T20:26:47.342482,0.0,0.0,0.0,-13981301724.57497,-7937309219.161514,0.0
2026-05-06T20:26:47.350815,0.0,0.0,0.0,-13886390429.321976,-8101352266.791718,0.0
2026-05-06T20:26:47.359148,0.0,0.0,0.0,-13791741757.19173,-8265534119.975136,0.0
2026-05-06T20:26:47.367481,0.0,0.0,0.0,-13697371275.490116,-8429827438.632843,0.0
2026-05-06T20:26:47.375814,0.0,0.0,0.0,-13603294497.61188,-8594204570.614159,0.0
2026-05-06T20:26:47.384147,0.0,0.0,0.0,-13509526939.33791,-8758637371.51243,0.0
2026-05-06T20:26:47.392480,0.0,0.0,0.0,-13416084155.537022,-8923097012.779701,0.0
2026-05-06T20:26:47.400813,0.0,0.0,0.0,-13322981757.206377,-9087553778.013887,0.0
2026-05-06T20:26:47.409146,0.0,0.0,0.0,-13230235408.719425,-9251976847.344828,0.0
2026-05-06T20:26:47.417479,0.0,0.0,0.0,-13137860805.083014,-9416334069.926022,0.0
2026-05-06T20:26:47.425812,0.0,0.0,0.0,-13045873628.939983,-9580591724.648918,0.0
2026-05-06T20:26:47.434145,0.0,0.0,0.0,-12954289486.99253,-9744714269.339497,0.0
2026-05-06T20:26:47.442478,0.0,0.0,0.0,-12863123825.46818,-9908664078.874483,0.0
2026-05-06T20:26:47.450811,0.0,0.0,0.0,-12772391824.208645,-10072401172.87036,0.0
2026-05-06T20:26:47.459144,0.0,0.0,0.0,-12682108268.934818,-10235882933.853977,0.0
2026-05-06T20:26:47.467477,0.0,0.0,0.0,-12592287401.234486,-10399063817.12242,0.0
2026-05-06T20:26:47.475810,0.0,0.0,0.0,-12502942745.836521,-10561895053.843082,0.0
2026-05-06T20:26:47.484143,0.0,0.0,0.0,-12414086914.782383,-10724324349.334352,0.0
2026-05-06T20:26:47.492476,0.0,0.0,0.0,-12325731388.187881,-10886295578.903584,0.0
2026-05-06T20:26:47.500809,0.0,0.0,0.0,-12237886271.411652,-11047748484.101551,0.0
2026-05-06T20:26:47.509142,0.0,0.0,0.0,-12150560028.617352,-11208618372.77901,0.0
2026-05-06T20:26:47.517475,0.0,0.0,0.0,-12063759192.941711,-11368835826.89854,0.0
2026-05-06T20:26:47.525808,0.0,0.0,0.0,-11977488053.76506,-11528326422.65608,0.0
2026-05-06T20:26:47.534141,0.0,0.0,0.0,-11891748321.932364,-11687010468.094551,0.0
2026-05-06T20:26:47.542474,0.0,0.0,0.0,-11806538774.19552,-11844802764.033573,0.0
2026-05-06T20:26:47.550807,0.0,0.0,0.0,-11721854878.64615,-12001612394.78037,0.0
2026-05-06T20:26:47.559140,0.0,0.0,0.0,-11637688403.485304,-12157342555.708256,0.0
2026-05-06T20:26:47.567473,0.0,0.0,0.0,-11554027012.132555,-12311890425.367626,0.0
2026-05-06T20:26:47.575806,0.0,0.0,0.0,-11470853848.409447,-12465147090.302837,0.0
2026-05-06T20:26:47.584139,0.0,0.0,0.0,-11388147116.33567,-12616997531.155691,0.0
2026-05-06T20:26:47.592472,0.0,0.0,0.0,-11305879659.939419,-12767320678.906647,0.0
2026-05-06T20:26:47.600805,0.0,0.0,0.0,-11224018549.39177,-12915989550.200256,0.0
2026-05-06T20:26:47.609138,0.0,0.0,0.0,-11142524680.70662,-13062871470.580898,0.0
2026-05-06T20:26:47.617471,0.0,0.0,0.0,-11061352397.175566,-13207828394.08599,0.0
2026-05-06T20:26:47.625804,0.0,0.0,0.0,-10980449141.597218,-13350717326.967522,0.0
2026-05-06T20:26:47.634137,0.0,0.0,0.0,-10899755149.171858,-13491390862.299248,0.0
2026-05-06T20:26:47.642470,0.0,0.0,0.0,-10819203191.618492,-13629697830.846788,0.0
2026-05-06T20:26:47.650803,0.0,0.0,0.0,-10738718383.58043,-13765484071.807571,0.0
2026-05-06T20:26:47.659136,0.0,0.0,0.0,-10658218062.66146,-13898593324.857971,0.0
2026-05-06T20:26:47.667469,0.0,0.0,0.0,-10577611754.421253,-14028868242.382729,0.0
2026-05-06T20:26:47.675802,0.0,0.0,0.0,-10496801233.299603,-14156151517.83205,0.0
