time,a_>_b.gravity_edge_0,a_>_b.gravity_edge_1
2026-05-06T20:26:46.884738,1,2
2026-05-06T20:26:46.892500,1,2
2026-05-06T20:26:46.900833,1,2
2026-05-06T20:26:46.909166,1,2
2026-05-06T20:26:46.917499,1,2
2026-05-06T20:26:46.925832,1,2
2026-05-06T20:26:46.934165,1,2
2026-05-06T20:26:46.942498,1,2
2026-05-06T20:26:46.950831,1,2
2026-05-06T20:26:46.959164,1,2
2026-05-06T20:26:46.967497,1,2
2026-05-06T20:26:46.975830,1,2
2026-05-06T20:26:46.984163,1,2
2026-05-06T20:26:46.992496,1,2
2026-05-06T20:26:47.000829,1,2
2026-05-06T20:26:47.009162,1,2
2026-05-06T20:26:47.017495,1,2
2026-05-06T20:26:47.025828,1,2
2026-05-06T20:26:47.034161,1,2
2026-05-06T20:26:47.042494,1,2
2026-05-06T20:26:47.050827,1,2
2026-05-06T20:26:47.059160,1,2
2026-05-06T20:26:47.067493,1,2
2026-05-06T20:26:47.075826,1,2
2026-05-06T20:26:47.084159,1,2
2026-05-06T20:26:47.092492,1,2
2026-05-06T20:26:47.100825,1,2
2026-05-06T20:26:47.109158,1,2
2026-05-06T20:26:47.117491,1,2
2026-05-06T20:26:47.125824,1,2
2026-05-06T20:26:47.134157,1,2
2026-05-06T20:26:47.142490,1,2
2026-05-06T20:26:47.150823,1,2
2026-05-06T20:26:47.159156,1,2
2026-05-06T20:26:47.167489,1,2
2026-05-06T20:26:47.175822,1,2
2026-05-06T20:26:47.184155,1,2
2026-05-06T20:26:47.192488,1,2
2026-05-06T20:26:47.200821,1,2
2026-05-06T20:26:47.209154,1,2
2026-05-06T20:26:47.217487,1,2
2026-05-06T20:26:47.225820,1,2
2026-05-06T20:26:47.234153,1,2
2026-05-06T20:26:47.242486,1,2
2026-05-06T20:26:47.250819,1,2
2026-05-06T20:26:47.259152,1,2
2026-05-06T20:26:47.267485,1,2
2026-05-06T20:26:47.275818,1,2
2026-05-06T20:26:47.284151,1,2
2026-05-06T20:26:47.292484,1,2
2026-05-06T20:26:47.300817,1,2
2026-05-06T20:26:47.309150,1,2
2026-05-06T20:26:47.317483,1,2
2026-05-06T20:26:47.325816,1,2
2026-05-06T20:26:47.334149,1,2
2026-05-06T20:26:47.342482,1,2
2026-05-06T20:26:47.350815,1,2
2026-05-06T20:26:47.359148,1,2
2026-05-06T20:26:47.367481,1,2
2026-05-06T20:26:47.375814,1,2
2026-05-06T20:26:47.384147,1,2
2026-05-06T20:26:47.392480,1,2
2026-05-06T20:26:47.400813,1,2
2026-05-06T20:26:47.409146,1,2
2026-05-06T20:26:47.417479,1,2
2026-05-06T20:26:47.425812,1,2
2026-05-06T20:26:47.434145,1,2
2026-05-06T20:26:47.442478,1,2
2026-05-06T20:26:47.450811,1,2
2026-05-06T20:26:47.459144,1,2
2026-05-06T20:26:47.467477,1,2
2026-05-06T20:26:47.475810,1,2
2026-05-06T20:26:47.484143,1,2
2026-05-06T20:26:47.492476,1,2
2026-05-06T20:26:47.500809,1,2
2026-05-06T20:26:47.509142,1,2
2026-05-06T20:26:47.517475,1,2
2026-05-06T20:26:47.525808,1,2
2026-05-06T20:26:47.534141,1,2
2026-05-06T20:26:47.542474,1,2
2026-05-06T20:26:47.550807,1,2
2026-05-06T20:26:47.559140,1,2
2026-05-06T20:26:47.567473,1,2
2026-05-06T20:26:47.575806,1,2
2026-05-06T20:26:47.584139,1,2
2026-05-06T20:26:47.592472,1,2
2026-05-06T20:26:47.600805,1,2
2026-05-06T20:26:47.609138,1,2
2026-05-06T20:26:47.617471,1,2
2026-05-06T20:26:47.625804,1,2
2026-05-06T20:26:47.634137,1,2
2026-05-06T20:26:47.642470,1,2
2026-05-06T20:26:47.650803,1,2
2026-05-06T20:26:47.659136,1,2
2026-05-06T20:26:47.667469,1,2
2026-05-06T20:26:47.675802,1,2
2026-05-06T20:26:47.684135,1,2
2026-05-06T20:26:47.692468,1,2
2026-05-06T20:26:47.700801,1,2
2026-05-06T20:26:47.709134,1,2
2026-05-06T20:26:47.717467,1,2
