time,a_>_c.gravity_edge.0,a_>_c.gravity_edge.1
2026-03-27T20:29:47.308135,1,3
2026-03-27T20:29:47.311355,1,3
2026-03-27T20:29:47.319688,1,3
2026-03-27T20:29:47.328021,1,3
2026-03-27T20:29:47.336354,1,3
2026-03-27T20:29:47.344687,1,3
2026-03-27T20:29:47.353020,1,3
2026-03-27T20:29:47.361353,1,3
2026-03-27T20:29:47.369686,1,3
2026-03-27T20:29:47.378019,1,3
2026-03-27T20:29:47.386352,1,3
2026-03-27T20:29:47.394685,1,3
2026-03-27T20:29:47.403018,1,3
2026-03-27T20:29:47.411351,1,3
2026-03-27T20:29:47.419684,1,3
2026-03-27T20:29:47.428017,1,3
2026-03-27T20:29:47.436350,1,3
2026-03-27T20:29:47.444683,1,3
2026-03-27T20:29:47.453016,1,3
2026-03-27T20:29:47.461349,1,3
2026-03-27T20:29:47.469682,1,3
2026-03-27T20:29:47.478015,1,3
2026-03-27T20:29:47.486348,1,3
2026-03-27T20:29:47.494681,1,3
2026-03-27T20:29:47.503014,1,3
2026-03-27T20:29:47.511347,1,3
2026-03-27T20:29:47.519680,1,3
2026-03-27T20:29:47.528013,1,3
2026-03-27T20:29:47.536346,1,3
2026-03-27T20:29:47.544679,1,3
2026-03-27T20:29:47.553012,1,3
2026-03-27T20:29:47.561345,1,3
2026-03-27T20:29:47.569678,1,3
2026-03-27T20:29:47.578011,1,3
2026-03-27T20:29:47.586344,1,3
2026-03-27T20:29:47.594677,1,3
2026-03-27T20:29:47.603010,1,3
2026-03-27T20:29:47.611343,1,3
2026-03-27T20:29:47.619676,1,3
2026-03-27T20:29:47.628009,1,3
2026-03-27T20:29:47.636342,1,3
2026-03-27T20:29:47.644675,1,3
2026-03-27T20:29:47.653008,1,3
2026-03-27T20:29:47.661341,1,3
2026-03-27T20:29:47.669674,1,3
2026-03-27T20:29:47.678007,1,3
2026-03-27T20:29:47.686340,1,3
2026-03-27T20:29:47.694673,1,3
2026-03-27T20:29:47.703006,1,3
2026-03-27T20:29:47.711339,1,3
2026-03-27T20:29:47.719672,1,3
2026-03-27T20:29:47.728005,1,3
2026-03-27T20:29:47.736338,1,3
2026-03-27T20:29:47.744671,1,3
2026-03-27T20:29:47.753004,1,3
2026-03-27T20:29:47.761337,1,3
2026-03-27T20:29:47.769670,1,3
2026-03-27T20:29:47.778003,1,3
2026-03-27T20:29:47.786336,1,3
2026-03-27T20:29:47.794669,1,3
2026-03-27T20:29:47.803002,1,3
2026-03-27T20:29:47.811335,1,3
2026-03-27T20:29:47.819668,1,3
2026-03-27T20:29:47.828001,1,3
2026-03-27T20:29:47.836334,1,3
2026-03-27T20:29:47.844667,1,3
2026-03-27T20:29:47.853,1,3
2026-03-27T20:29:47.861333,1,3
2026-03-27T20:29:47.869666,1,3
2026-03-27T20:29:47.877999,1,3
2026-03-27T20:29:47.886332,1,3
2026-03-27T20:29:47.894665,1,3
2026-03-27T20:29:47.902998,1,3
2026-03-27T20:29:47.911331,1,3
2026-03-27T20:29:47.919664,1,3
2026-03-27T20:29:47.927997,1,3
2026-03-27T20:29:47.936330,1,3
2026-03-27T20:29:47.944663,1,3
2026-03-27T20:29:47.952996,1,3
2026-03-27T20:29:47.961329,1,3
2026-03-27T20:29:47.969662,1,3
2026-03-27T20:29:47.977995,1,3
2026-03-27T20:29:47.986328,1,3
2026-03-27T20:29:47.994661,1,3
2026-03-27T20:29:48.002994,1,3
2026-03-27T20:29:48.011327,1,3
2026-03-27T20:29:48.019660,1,3
2026-03-27T20:29:48.027993,1,3
2026-03-27T20:29:48.036326,1,3
2026-03-27T20:29:48.044659,1,3
2026-03-27T20:29:48.052992,1,3
2026-03-27T20:29:48.061325,1,3
2026-03-27T20:29:48.069658,1,3
2026-03-27T20:29:48.077991,1,3
2026-03-27T20:29:48.086324,1,3
2026-03-27T20:29:48.094657,1,3
2026-03-27T20:29:48.102990,1,3
2026-03-27T20:29:48.111323,1,3
2026-03-27T20:29:48.119656,1,3
2026-03-27T20:29:48.127989,1,3
2026-03-27T20:29:48.136322,1,3
