time,a_>_b.gravity_edge_0,a_>_b.gravity_edge_1
2026-08-21T00:30:44.969022,1,2
2026-08-21T00:30:44.985067,1,2
2026-08-21T00:30:44.993400,1,2
2026-08-21T00:30:45.001733,1,2
2026-08-21T00:30:45.010066,1,2
2026-08-21T00:30:45.018399,1,2
2026-08-21T00:30:45.026732,1,2
2026-08-21T00:30:45.035065,1,2
2026-08-21T00:30:45.043398,1,2
2026-08-21T00:30:45.051731,1,2
2026-08-21T00:30:45.060064,1,2
2026-08-21T00:30:45.068397,1,2
2026-08-21T00:30:45.076730,1,2
2026-08-21T00:30:45.085063,1,2
2026-08-21T00:30:45.093396,1,2
2026-08-21T00:30:45.101729,1,2
2026-08-21T00:30:45.110062,1,2
2026-08-21T00:30:45.118395,1,2
2026-08-21T00:30:45.126728,1,2
2026-08-21T00:30:45.135061,1,2
2026-08-21T00:30:45.143394,1,2
2026-08-21T00:30:45.151727,1,2
2026-08-21T00:30:45.160060,1,2
2026-08-21T00:30:45.168393,1,2
2026-08-21T00:30:45.176726,1,2
2026-08-21T00:30:45.185059,1,2
2026-08-21T00:30:45.193392,1,2
2026-08-21T00:30:45.201725,1,2
2026-08-21T00:30:45.210058,1,2
2026-08-21T00:30:45.218391,1,2
2026-08-21T00:30:45.226724,1,2
2026-08-21T00:30:45.235057,1,2
2026-08-21T00:30:45.243390,1,2
2026-08-21T00:30:45.251723,1,2
2026-08-21T00:30:45.260056,1,2
2026-08-21T00:30:45.268389,1,2
2026-08-21T00:30:45.276722,1,2
2026-08-21T00:30:45.285055,1,2
2026-08-21T00:30:45.293388,1,2
2026-08-21T00:30:45.301721,1,2
2026-08-21T00:30:45.310054,1,2
2026-08-21T00:30:45.318387,1,2
2026-08-21T00:30:45.326720,1,2
2026-08-21T00:30:45.335053,1,2
2026-08-21T00:30:45.343386,1,2
2026-08-21T00:30:45.351719,1,2
2026-08-21T00:30:45.360052,1,2
2026-08-21T00:30:45.368385,1,2
2026-08-21T00:30:45.376718,1,2
2026-08-21T00:30:45.385051,1,2
2026-08-21T00:30:45.393384,1,2
2026-08-21T00:30:45.401717,1,2
2026-08-21T00:30:45.410050,1,2
2026-08-21T00:30:45.418383,1,2
2026-08-21T00:30:45.426716,1,2
2026-08-21T00:30:45.435049,1,2
2026-08-21T00:30:45.443382,1,2
2026-08-21T00:30:45.451715,1,2
2026-08-21T00:30:45.460048,1,2
2026-08-21T00:30:45.468381,1,2
2026-08-21T00:30:45.476714,1,2
2026-08-21T00:30:45.485047,1,2
2026-08-21T00:30:45.493380,1,2
2026-08-21T00:30:45.501713,1,2
2026-08-21T00:30:45.510046,1,2
2026-08-21T00:30:45.518379,1,2
2026-08-21T00:30:45.526712,1,2
2026-08-21T00:30:45.535045,1,2
2026-08-21T00:30:45.543378,1,2
2026-08-21T00:30:45.551711,1,2
2026-08-21T00:30:45.560044,1,2
2026-08-21T00:30:45.568377,1,2
2026-08-21T00:30:45.576710,1,2
2026-08-21T00:30:45.585043,1,2
2026-08-21T00:30:45.593376,1,2
2026-08-21T00:30:45.601709,1,2
2026-08-21T00:30:45.610042,1,2
2026-08-21T00:30:45.618375,1,2
2026-08-21T00:30:45.626708,1,2
2026-08-21T00:30:45.635041,1,2
2026-08-21T00:30:45.643374,1,2
2026-08-21T00:30:45.651707,1,2
2026-08-21T00:30:45.660040,1,2
2026-08-21T00:30:45.668373,1,2
2026-08-21T00:30:45.676706,1,2
2026-08-21T00:30:45.685039,1,2
2026-08-21T00:30:45.693372,1,2
2026-08-21T00:30:45.701705,1,2
2026-08-21T00:30:45.710038,1,2
2026-08-21T00:30:45.718371,1,2
2026-08-21T00:30:45.726704,1,2
2026-08-21T00:30:45.735037,1,2
2026-08-21T00:30:45.743370,1,2
2026-08-21T00:30:45.751703,1,2
2026-08-21T00:30:45.760036,1,2
2026-08-21T00:30:45.768369,1,2
2026-08-21T00:30:45.776702,1,2
2026-08-21T00:30:45.785035,1,2
2026-08-21T00:30:45.793368,1,2
2026-08-21T00:30:45.801701,1,2
2026-08-21T00:30:45.810034,1,2
