time,b_>_a.gravity_edge.0,b_>_a.gravity_edge.1
2026-03-19T22:53:10.706958,2,1
2026-03-19T22:53:10.710,2,1
2026-03-19T22:53:10.718333,2,1
2026-03-19T22:53:10.726666,2,1
2026-03-19T22:53:10.734999,2,1
2026-03-19T22:53:10.743332,2,1
2026-03-19T22:53:10.751665,2,1
2026-03-19T22:53:10.759998,2,1
2026-03-19T22:53:10.768331,2,1
2026-03-19T22:53:10.776664,2,1
2026-03-19T22:53:10.784997,2,1
2026-03-19T22:53:10.793330,2,1
2026-03-19T22:53:10.801663,2,1
2026-03-19T22:53:10.809996,2,1
2026-03-19T22:53:10.818329,2,1
2026-03-19T22:53:10.826662,2,1
2026-03-19T22:53:10.834995,2,1
2026-03-19T22:53:10.843328,2,1
2026-03-19T22:53:10.851661,2,1
2026-03-19T22:53:10.859994,2,1
2026-03-19T22:53:10.868327,2,1
2026-03-19T22:53:10.876660,2,1
2026-03-19T22:53:10.884993,2,1
2026-03-19T22:53:10.893326,2,1
2026-03-19T22:53:10.901659,2,1
2026-03-19T22:53:10.909992,2,1
2026-03-19T22:53:10.918325,2,1
2026-03-19T22:53:10.926658,2,1
2026-03-19T22:53:10.934991,2,1
2026-03-19T22:53:10.943324,2,1
2026-03-19T22:53:10.951657,2,1
2026-03-19T22:53:10.959990,2,1
2026-03-19T22:53:10.968323,2,1
2026-03-19T22:53:10.976656,2,1
2026-03-19T22:53:10.984989,2,1
2026-03-19T22:53:10.993322,2,1
2026-03-19T22:53:11.001655,2,1
2026-03-19T22:53:11.009988,2,1
2026-03-19T22:53:11.018321,2,1
2026-03-19T22:53:11.026654,2,1
2026-03-19T22:53:11.034987,2,1
2026-03-19T22:53:11.043320,2,1
2026-03-19T22:53:11.051653,2,1
2026-03-19T22:53:11.059986,2,1
2026-03-19T22:53:11.068319,2,1
2026-03-19T22:53:11.076652,2,1
2026-03-19T22:53:11.084985,2,1
2026-03-19T22:53:11.093318,2,1
2026-03-19T22:53:11.101651,2,1
2026-03-19T22:53:11.109984,2,1
2026-03-19T22:53:11.118317,2,1
2026-03-19T22:53:11.126650,2,1
2026-03-19T22:53:11.134983,2,1
2026-03-19T22:53:11.143316,2,1
2026-03-19T22:53:11.151649,2,1
2026-03-19T22:53:11.159982,2,1
2026-03-19T22:53:11.168315,2,1
2026-03-19T22:53:11.176648,2,1
2026-03-19T22:53:11.184981,2,1
2026-03-19T22:53:11.193314,2,1
2026-03-19T22:53:11.201647,2,1
2026-03-19T22:53:11.209980,2,1
2026-03-19T22:53:11.218313,2,1
2026-03-19T22:53:11.226646,2,1
2026-03-19T22:53:11.234979,2,1
2026-03-19T22:53:11.243312,2,1
2026-03-19T22:53:11.251645,2,1
2026-03-19T22:53:11.259978,2,1
2026-03-19T22:53:11.268311,2,1
2026-03-19T22:53:11.276644,2,1
2026-03-19T22:53:11.284977,2,1
2026-03-19T22:53:11.293310,2,1
2026-03-19T22:53:11.301643,2,1
2026-03-19T22:53:11.309976,2,1
2026-03-19T22:53:11.318309,2,1
2026-03-19T22:53:11.326642,2,1
2026-03-19T22:53:11.334975,2,1
2026-03-19T22:53:11.343308,2,1
2026-03-19T22:53:11.351641,2,1
2026-03-19T22:53:11.359974,2,1
2026-03-19T22:53:11.368307,2,1
2026-03-19T22:53:11.376640,2,1
2026-03-19T22:53:11.384973,2,1
2026-03-19T22:53:11.393306,2,1
2026-03-19T22:53:11.401639,2,1
2026-03-19T22:53:11.409972,2,1
2026-03-19T22:53:11.418305,2,1
2026-03-19T22:53:11.426638,2,1
2026-03-19T22:53:11.434971,2,1
2026-03-19T22:53:11.443304,2,1
2026-03-19T22:53:11.451637,2,1
2026-03-19T22:53:11.459970,2,1
2026-03-19T22:53:11.468303,2,1
2026-03-19T22:53:11.476636,2,1
2026-03-19T22:53:11.484969,2,1
2026-03-19T22:53:11.493302,2,1
2026-03-19T22:53:11.501635,2,1
2026-03-19T22:53:11.509968,2,1
2026-03-19T22:53:11.518301,2,1
2026-03-19T22:53:11.526634,2,1
2026-03-19T22:53:11.534967,2,1
