time,b_>_c.gravity_edge.0,b_>_c.gravity_edge.1
2026-03-20T06:13:34.172233,2,3
2026-03-20T06:13:34.175097,2,3
2026-03-20T06:13:34.183430,2,3
2026-03-20T06:13:34.191763,2,3
2026-03-20T06:13:34.200096,2,3
2026-03-20T06:13:34.208429,2,3
2026-03-20T06:13:34.216762,2,3
2026-03-20T06:13:34.225095,2,3
2026-03-20T06:13:34.233428,2,3
2026-03-20T06:13:34.241761,2,3
2026-03-20T06:13:34.250094,2,3
2026-03-20T06:13:34.258427,2,3
2026-03-20T06:13:34.266760,2,3
2026-03-20T06:13:34.275093,2,3
2026-03-20T06:13:34.283426,2,3
2026-03-20T06:13:34.291759,2,3
2026-03-20T06:13:34.300092,2,3
2026-03-20T06:13:34.308425,2,3
2026-03-20T06:13:34.316758,2,3
2026-03-20T06:13:34.325091,2,3
2026-03-20T06:13:34.333424,2,3
2026-03-20T06:13:34.341757,2,3
2026-03-20T06:13:34.350090,2,3
2026-03-20T06:13:34.358423,2,3
2026-03-20T06:13:34.366756,2,3
2026-03-20T06:13:34.375089,2,3
2026-03-20T06:13:34.383422,2,3
2026-03-20T06:13:34.391755,2,3
2026-03-20T06:13:34.400088,2,3
2026-03-20T06:13:34.408421,2,3
2026-03-20T06:13:34.416754,2,3
2026-03-20T06:13:34.425087,2,3
2026-03-20T06:13:34.433420,2,3
2026-03-20T06:13:34.441753,2,3
2026-03-20T06:13:34.450086,2,3
2026-03-20T06:13:34.458419,2,3
2026-03-20T06:13:34.466752,2,3
2026-03-20T06:13:34.475085,2,3
2026-03-20T06:13:34.483418,2,3
2026-03-20T06:13:34.491751,2,3
2026-03-20T06:13:34.500084,2,3
2026-03-20T06:13:34.508417,2,3
2026-03-20T06:13:34.516750,2,3
2026-03-20T06:13:34.525083,2,3
2026-03-20T06:13:34.533416,2,3
2026-03-20T06:13:34.541749,2,3
2026-03-20T06:13:34.550082,2,3
2026-03-20T06:13:34.558415,2,3
2026-03-20T06:13:34.566748,2,3
2026-03-20T06:13:34.575081,2,3
2026-03-20T06:13:34.583414,2,3
2026-03-20T06:13:34.591747,2,3
2026-03-20T06:13:34.600080,2,3
2026-03-20T06:13:34.608413,2,3
2026-03-20T06:13:34.616746,2,3
2026-03-20T06:13:34.625079,2,3
2026-03-20T06:13:34.633412,2,3
2026-03-20T06:13:34.641745,2,3
2026-03-20T06:13:34.650078,2,3
2026-03-20T06:13:34.658411,2,3
2026-03-20T06:13:34.666744,2,3
2026-03-20T06:13:34.675077,2,3
2026-03-20T06:13:34.683410,2,3
2026-03-20T06:13:34.691743,2,3
2026-03-20T06:13:34.700076,2,3
2026-03-20T06:13:34.708409,2,3
2026-03-20T06:13:34.716742,2,3
2026-03-20T06:13:34.725075,2,3
2026-03-20T06:13:34.733408,2,3
2026-03-20T06:13:34.741741,2,3
2026-03-20T06:13:34.750074,2,3
2026-03-20T06:13:34.758407,2,3
2026-03-20T06:13:34.766740,2,3
2026-03-20T06:13:34.775073,2,3
2026-03-20T06:13:34.783406,2,3
2026-03-20T06:13:34.791739,2,3
2026-03-20T06:13:34.800072,2,3
2026-03-20T06:13:34.808405,2,3
2026-03-20T06:13:34.816738,2,3
2026-03-20T06:13:34.825071,2,3
2026-03-20T06:13:34.833404,2,3
2026-03-20T06:13:34.841737,2,3
2026-03-20T06:13:34.850070,2,3
2026-03-20T06:13:34.858403,2,3
2026-03-20T06:13:34.866736,2,3
2026-03-20T06:13:34.875069,2,3
2026-03-20T06:13:34.883402,2,3
2026-03-20T06:13:34.891735,2,3
2026-03-20T06:13:34.900068,2,3
2026-03-20T06:13:34.908401,2,3
2026-03-20T06:13:34.916734,2,3
2026-03-20T06:13:34.925067,2,3
2026-03-20T06:13:34.933400,2,3
2026-03-20T06:13:34.941733,2,3
2026-03-20T06:13:34.950066,2,3
2026-03-20T06:13:34.958399,2,3
2026-03-20T06:13:34.966732,2,3
2026-03-20T06:13:34.975065,2,3
2026-03-20T06:13:34.983398,2,3
2026-03-20T06:13:34.991731,2,3
2026-03-20T06:13:35.000064,2,3
