time,b_>_a.gravity_edge_0,b_>_a.gravity_edge_1
2026-08-21T00:30:44.969022,2,1
2026-08-21T00:30:44.985067,2,1
2026-08-21T00:30:44.993400,2,1
2026-08-21T00:30:45.001733,2,1
2026-08-21T00:30:45.010066,2,1
2026-08-21T00:30:45.018399,2,1
2026-08-21T00:30:45.026732,2,1
2026-08-21T00:30:45.035065,2,1
2026-08-21T00:30:45.043398,2,1
2026-08-21T00:30:45.051731,2,1
2026-08-21T00:30:45.060064,2,1
2026-08-21T00:30:45.068397,2,1
2026-08-21T00:30:45.076730,2,1
2026-08-21T00:30:45.085063,2,1
2026-08-21T00:30:45.093396,2,1
2026-08-21T00:30:45.101729,2,1
2026-08-21T00:30:45.110062,2,1
2026-08-21T00:30:45.118395,2,1
2026-08-21T00:30:45.126728,2,1
2026-08-21T00:30:45.135061,2,1
2026-08-21T00:30:45.143394,2,1
2026-08-21T00:30:45.151727,2,1
2026-08-21T00:30:45.160060,2,1
2026-08-21T00:30:45.168393,2,1
2026-08-21T00:30:45.176726,2,1
2026-08-21T00:30:45.185059,2,1
2026-08-21T00:30:45.193392,2,1
2026-08-21T00:30:45.201725,2,1
2026-08-21T00:30:45.210058,2,1
2026-08-21T00:30:45.218391,2,1
2026-08-21T00:30:45.226724,2,1
2026-08-21T00:30:45.235057,2,1
2026-08-21T00:30:45.243390,2,1
2026-08-21T00:30:45.251723,2,1
2026-08-21T00:30:45.260056,2,1
2026-08-21T00:30:45.268389,2,1
2026-08-21T00:30:45.276722,2,1
2026-08-21T00:30:45.285055,2,1
2026-08-21T00:30:45.293388,2,1
2026-08-21T00:30:45.301721,2,1
2026-08-21T00:30:45.310054,2,1
2026-08-21T00:30:45.318387,2,1
2026-08-21T00:30:45.326720,2,1
2026-08-21T00:30:45.335053,2,1
2026-08-21T00:30:45.343386,2,1
2026-08-21T00:30:45.351719,2,1
2026-08-21T00:30:45.360052,2,1
2026-08-21T00:30:45.368385,2,1
2026-08-21T00:30:45.376718,2,1
2026-08-21T00:30:45.385051,2,1
2026-08-21T00:30:45.393384,2,1
2026-08-21T00:30:45.401717,2,1
2026-08-21T00:30:45.410050,2,1
2026-08-21T00:30:45.418383,2,1
2026-08-21T00:30:45.426716,2,1
2026-08-21T00:30:45.435049,2,1
2026-08-21T00:30:45.443382,2,1
2026-08-21T00:30:45.451715,2,1
2026-08-21T00:30:45.460048,2,1
2026-08-21T00:30:45.468381,2,1
2026-08-21T00:30:45.476714,2,1
2026-08-21T00:30:45.485047,2,1
2026-08-21T00:30:45.493380,2,1
2026-08-21T00:30:45.501713,2,1
2026-08-21T00:30:45.510046,2,1
2026-08-21T00:30:45.518379,2,1
2026-08-21T00:30:45.526712,2,1
2026-08-21T00:30:45.535045,2,1
2026-08-21T00:30:45.543378,2,1
2026-08-21T00:30:45.551711,2,1
2026-08-21T00:30:45.560044,2,1
2026-08-21T00:30:45.568377,2,1
2026-08-21T00:30:45.576710,2,1
2026-08-21T00:30:45.585043,2,1
2026-08-21T00:30:45.593376,2,1
2026-08-21T00:30:45.601709,2,1
2026-08-21T00:30:45.610042,2,1
2026-08-21T00:30:45.618375,2,1
2026-08-21T00:30:45.626708,2,1
2026-08-21T00:30:45.635041,2,1
2026-08-21T00:30:45.643374,2,1
2026-08-21T00:30:45.651707,2,1
2026-08-21T00:30:45.660040,2,1
2026-08-21T00:30:45.668373,2,1
2026-08-21T00:30:45.676706,2,1
2026-08-21T00:30:45.685039,2,1
2026-08-21T00:30:45.693372,2,1
2026-08-21T00:30:45.701705,2,1
2026-08-21T00:30:45.710038,2,1
2026-08-21T00:30:45.718371,2,1
2026-08-21T00:30:45.726704,2,1
2026-08-21T00:30:45.735037,2,1
2026-08-21T00:30:45.743370,2,1
2026-08-21T00:30:45.751703,2,1
2026-08-21T00:30:45.760036,2,1
2026-08-21T00:30:45.768369,2,1
2026-08-21T00:30:45.776702,2,1
2026-08-21T00:30:45.785035,2,1
2026-08-21T00:30:45.793368,2,1
2026-08-21T00:30:45.801701,2,1
2026-08-21T00:30:45.810034,2,1
