time,b_>_c.gravity_edge_0,b_>_c.gravity_edge_1
2026-05-06T20:26:46.884738,2,3
2026-05-06T20:26:46.892500,2,3
2026-05-06T20:26:46.900833,2,3
2026-05-06T20:26:46.909166,2,3
2026-05-06T20:26:46.917499,2,3
2026-05-06T20:26:46.925832,2,3
2026-05-06T20:26:46.934165,2,3
2026-05-06T20:26:46.942498,2,3
2026-05-06T20:26:46.950831,2,3
2026-05-06T20:26:46.959164,2,3
2026-05-06T20:26:46.967497,2,3
2026-05-06T20:26:46.975830,2,3
2026-05-06T20:26:46.984163,2,3
2026-05-06T20:26:46.992496,2,3
2026-05-06T20:26:47.000829,2,3
2026-05-06T20:26:47.009162,2,3
2026-05-06T20:26:47.017495,2,3
2026-05-06T20:26:47.025828,2,3
2026-05-06T20:26:47.034161,2,3
2026-05-06T20:26:47.042494,2,3
2026-05-06T20:26:47.050827,2,3
2026-05-06T20:26:47.059160,2,3
2026-05-06T20:26:47.067493,2,3
2026-05-06T20:26:47.075826,2,3
2026-05-06T20:26:47.084159,2,3
2026-05-06T20:26:47.092492,2,3
2026-05-06T20:26:47.100825,2,3
2026-05-06T20:26:47.109158,2,3
2026-05-06T20:26:47.117491,2,3
2026-05-06T20:26:47.125824,2,3
2026-05-06T20:26:47.134157,2,3
2026-05-06T20:26:47.142490,2,3
2026-05-06T20:26:47.150823,2,3
2026-05-06T20:26:47.159156,2,3
2026-05-06T20:26:47.167489,2,3
2026-05-06T20:26:47.175822,2,3
2026-05-06T20:26:47.184155,2,3
2026-05-06T20:26:47.192488,2,3
2026-05-06T20:26:47.200821,2,3
2026-05-06T20:26:47.209154,2,3
2026-05-06T20:26:47.217487,2,3
2026-05-06T20:26:47.225820,2,3
2026-05-06T20:26:47.234153,2,3
2026-05-06T20:26:47.242486,2,3
2026-05-06T20:26:47.250819,2,3
2026-05-06T20:26:47.259152,2,3
2026-05-06T20:26:47.267485,2,3
2026-05-06T20:26:47.275818,2,3
2026-05-06T20:26:47.284151,2,3
2026-05-06T20:26:47.292484,2,3
2026-05-06T20:26:47.300817,2,3
2026-05-06T20:26:47.309150,2,3
2026-05-06T20:26:47.317483,2,3
2026-05-06T20:26:47.325816,2,3
2026-05-06T20:26:47.334149,2,3
2026-05-06T20:26:47.342482,2,3
2026-05-06T20:26:47.350815,2,3
2026-05-06T20:26:47.359148,2,3
2026-05-06T20:26:47.367481,2,3
2026-05-06T20:26:47.375814,2,3
2026-05-06T20:26:47.384147,2,3
2026-05-06T20:26:47.392480,2,3
2026-05-06T20:26:47.400813,2,3
2026-05-06T20:26:47.409146,2,3
2026-05-06T20:26:47.417479,2,3
2026-05-06T20:26:47.425812,2,3
2026-05-06T20:26:47.434145,2,3
2026-05-06T20:26:47.442478,2,3
2026-05-06T20:26:47.450811,2,3
2026-05-06T20:26:47.459144,2,3
2026-05-06T20:26:47.467477,2,3
2026-05-06T20:26:47.475810,2,3
2026-05-06T20:26:47.484143,2,3
2026-05-06T20:26:47.492476,2,3
2026-05-06T20:26:47.500809,2,3
2026-05-06T20:26:47.509142,2,3
2026-05-06T20:26:47.517475,2,3
2026-05-06T20:26:47.525808,2,3
2026-05-06T20:26:47.534141,2,3
2026-05-06T20:26:47.542474,2,3
2026-05-06T20:26:47.550807,2,3
2026-05-06T20:26:47.559140,2,3
2026-05-06T20:26:47.567473,2,3
2026-05-06T20:26:47.575806,2,3
2026-05-06T20:26:47.584139,2,3
2026-05-06T20:26:47.592472,2,3
2026-05-06T20:26:47.600805,2,3
2026-05-06T20:26:47.609138,2,3
2026-05-06T20:26:47.617471,2,3
2026-05-06T20:26:47.625804,2,3
2026-05-06T20:26:47.634137,2,3
2026-05-06T20:26:47.642470,2,3
2026-05-06T20:26:47.650803,2,3
2026-05-06T20:26:47.659136,2,3
2026-05-06T20:26:47.667469,2,3
2026-05-06T20:26:47.675802,2,3
2026-05-06T20:26:47.684135,2,3
2026-05-06T20:26:47.692468,2,3
2026-05-06T20:26:47.700801,2,3
2026-05-06T20:26:47.709134,2,3
2026-05-06T20:26:47.717467,2,3
