time,c_>_a.gravity_edge_0,c_>_a.gravity_edge_1
2026-05-06T20:26:46.884738,3,1
2026-05-06T20:26:46.892500,3,1
2026-05-06T20:26:46.900833,3,1
2026-05-06T20:26:46.909166,3,1
2026-05-06T20:26:46.917499,3,1
2026-05-06T20:26:46.925832,3,1
2026-05-06T20:26:46.934165,3,1
2026-05-06T20:26:46.942498,3,1
2026-05-06T20:26:46.950831,3,1
2026-05-06T20:26:46.959164,3,1
2026-05-06T20:26:46.967497,3,1
2026-05-06T20:26:46.975830,3,1
2026-05-06T20:26:46.984163,3,1
2026-05-06T20:26:46.992496,3,1
2026-05-06T20:26:47.000829,3,1
2026-05-06T20:26:47.009162,3,1
2026-05-06T20:26:47.017495,3,1
2026-05-06T20:26:47.025828,3,1
2026-05-06T20:26:47.034161,3,1
2026-05-06T20:26:47.042494,3,1
2026-05-06T20:26:47.050827,3,1
2026-05-06T20:26:47.059160,3,1
2026-05-06T20:26:47.067493,3,1
2026-05-06T20:26:47.075826,3,1
2026-05-06T20:26:47.084159,3,1
2026-05-06T20:26:47.092492,3,1
2026-05-06T20:26:47.100825,3,1
2026-05-06T20:26:47.109158,3,1
2026-05-06T20:26:47.117491,3,1
2026-05-06T20:26:47.125824,3,1
2026-05-06T20:26:47.134157,3,1
2026-05-06T20:26:47.142490,3,1
2026-05-06T20:26:47.150823,3,1
2026-05-06T20:26:47.159156,3,1
2026-05-06T20:26:47.167489,3,1
2026-05-06T20:26:47.175822,3,1
2026-05-06T20:26:47.184155,3,1
2026-05-06T20:26:47.192488,3,1
2026-05-06T20:26:47.200821,3,1
2026-05-06T20:26:47.209154,3,1
2026-05-06T20:26:47.217487,3,1
2026-05-06T20:26:47.225820,3,1
2026-05-06T20:26:47.234153,3,1
2026-05-06T20:26:47.242486,3,1
2026-05-06T20:26:47.250819,3,1
2026-05-06T20:26:47.259152,3,1
2026-05-06T20:26:47.267485,3,1
2026-05-06T20:26:47.275818,3,1
2026-05-06T20:26:47.284151,3,1
2026-05-06T20:26:47.292484,3,1
2026-05-06T20:26:47.300817,3,1
2026-05-06T20:26:47.309150,3,1
2026-05-06T20:26:47.317483,3,1
2026-05-06T20:26:47.325816,3,1
2026-05-06T20:26:47.334149,3,1
2026-05-06T20:26:47.342482,3,1
2026-05-06T20:26:47.350815,3,1
2026-05-06T20:26:47.359148,3,1
2026-05-06T20:26:47.367481,3,1
2026-05-06T20:26:47.375814,3,1
2026-05-06T20:26:47.384147,3,1
2026-05-06T20:26:47.392480,3,1
2026-05-06T20:26:47.400813,3,1
2026-05-06T20:26:47.409146,3,1
2026-05-06T20:26:47.417479,3,1
2026-05-06T20:26:47.425812,3,1
2026-05-06T20:26:47.434145,3,1
2026-05-06T20:26:47.442478,3,1
2026-05-06T20:26:47.450811,3,1
2026-05-06T20:26:47.459144,3,1
2026-05-06T20:26:47.467477,3,1
2026-05-06T20:26:47.475810,3,1
2026-05-06T20:26:47.484143,3,1
2026-05-06T20:26:47.492476,3,1
2026-05-06T20:26:47.500809,3,1
2026-05-06T20:26:47.509142,3,1
2026-05-06T20:26:47.517475,3,1
2026-05-06T20:26:47.525808,3,1
2026-05-06T20:26:47.534141,3,1
2026-05-06T20:26:47.542474,3,1
2026-05-06T20:26:47.550807,3,1
2026-05-06T20:26:47.559140,3,1
2026-05-06T20:26:47.567473,3,1
2026-05-06T20:26:47.575806,3,1
2026-05-06T20:26:47.584139,3,1
2026-05-06T20:26:47.592472,3,1
2026-05-06T20:26:47.600805,3,1
2026-05-06T20:26:47.609138,3,1
2026-05-06T20:26:47.617471,3,1
2026-05-06T20:26:47.625804,3,1
2026-05-06T20:26:47.634137,3,1
2026-05-06T20:26:47.642470,3,1
2026-05-06T20:26:47.650803,3,1
2026-05-06T20:26:47.659136,3,1
2026-05-06T20:26:47.667469,3,1
2026-05-06T20:26:47.675802,3,1
2026-05-06T20:26:47.684135,3,1
2026-05-06T20:26:47.692468,3,1
2026-05-06T20:26:47.700801,3,1
2026-05-06T20:26:47.709134,3,1
2026-05-06T20:26:47.717467,3,1
