time,c_>_b.gravity_edge_0,c_>_b.gravity_edge_1
2026-08-21T00:30:44.969022,3,2
2026-08-21T00:30:44.985067,3,2
2026-08-21T00:30:44.993400,3,2
2026-08-21T00:30:45.001733,3,2
2026-08-21T00:30:45.010066,3,2
2026-08-21T00:30:45.018399,3,2
2026-08-21T00:30:45.026732,3,2
2026-08-21T00:30:45.035065,3,2
2026-08-21T00:30:45.043398,3,2
2026-08-21T00:30:45.051731,3,2
2026-08-21T00:30:45.060064,3,2
2026-08-21T00:30:45.068397,3,2
2026-08-21T00:30:45.076730,3,2
2026-08-21T00:30:45.085063,3,2
2026-08-21T00:30:45.093396,3,2
2026-08-21T00:30:45.101729,3,2
2026-08-21T00:30:45.110062,3,2
2026-08-21T00:30:45.118395,3,2
2026-08-21T00:30:45.126728,3,2
2026-08-21T00:30:45.135061,3,2
2026-08-21T00:30:45.143394,3,2
2026-08-21T00:30:45.151727,3,2
2026-08-21T00:30:45.160060,3,2
2026-08-21T00:30:45.168393,3,2
2026-08-21T00:30:45.176726,3,2
2026-08-21T00:30:45.185059,3,2
2026-08-21T00:30:45.193392,3,2
2026-08-21T00:30:45.201725,3,2
2026-08-21T00:30:45.210058,3,2
2026-08-21T00:30:45.218391,3,2
2026-08-21T00:30:45.226724,3,2
2026-08-21T00:30:45.235057,3,2
2026-08-21T00:30:45.243390,3,2
2026-08-21T00:30:45.251723,3,2
2026-08-21T00:30:45.260056,3,2
2026-08-21T00:30:45.268389,3,2
2026-08-21T00:30:45.276722,3,2
2026-08-21T00:30:45.285055,3,2
2026-08-21T00:30:45.293388,3,2
2026-08-21T00:30:45.301721,3,2
2026-08-21T00:30:45.310054,3,2
2026-08-21T00:30:45.318387,3,2
2026-08-21T00:30:45.326720,3,2
2026-08-21T00:30:45.335053,3,2
2026-08-21T00:30:45.343386,3,2
2026-08-21T00:30:45.351719,3,2
2026-08-21T00:30:45.360052,3,2
2026-08-21T00:30:45.368385,3,2
2026-08-21T00:30:45.376718,3,2
2026-08-21T00:30:45.385051,3,2
2026-08-21T00:30:45.393384,3,2
2026-08-21T00:30:45.401717,3,2
2026-08-21T00:30:45.410050,3,2
2026-08-21T00:30:45.418383,3,2
2026-08-21T00:30:45.426716,3,2
2026-08-21T00:30:45.435049,3,2
2026-08-21T00:30:45.443382,3,2
2026-08-21T00:30:45.451715,3,2
2026-08-21T00:30:45.460048,3,2
2026-08-21T00:30:45.468381,3,2
2026-08-21T00:30:45.476714,3,2
2026-08-21T00:30:45.485047,3,2
2026-08-21T00:30:45.493380,3,2
2026-08-21T00:30:45.501713,3,2
2026-08-21T00:30:45.510046,3,2
2026-08-21T00:30:45.518379,3,2
2026-08-21T00:30:45.526712,3,2
2026-08-21T00:30:45.535045,3,2
2026-08-21T00:30:45.543378,3,2
2026-08-21T00:30:45.551711,3,2
2026-08-21T00:30:45.560044,3,2
2026-08-21T00:30:45.568377,3,2
2026-08-21T00:30:45.576710,3,2
2026-08-21T00:30:45.585043,3,2
2026-08-21T00:30:45.593376,3,2
2026-08-21T00:30:45.601709,3,2
2026-08-21T00:30:45.610042,3,2
2026-08-21T00:30:45.618375,3,2
2026-08-21T00:30:45.626708,3,2
2026-08-21T00:30:45.635041,3,2
2026-08-21T00:30:45.643374,3,2
2026-08-21T00:30:45.651707,3,2
2026-08-21T00:30:45.660040,3,2
2026-08-21T00:30:45.668373,3,2
2026-08-21T00:30:45.676706,3,2
2026-08-21T00:30:45.685039,3,2
2026-08-21T00:30:45.693372,3,2
2026-08-21T00:30:45.701705,3,2
2026-08-21T00:30:45.710038,3,2
2026-08-21T00:30:45.718371,3,2
2026-08-21T00:30:45.726704,3,2
2026-08-21T00:30:45.735037,3,2
2026-08-21T00:30:45.743370,3,2
2026-08-21T00:30:45.751703,3,2
2026-08-21T00:30:45.760036,3,2
2026-08-21T00:30:45.768369,3,2
2026-08-21T00:30:45.776702,3,2
2026-08-21T00:30:45.785035,3,2
2026-08-21T00:30:45.793368,3,2
2026-08-21T00:30:45.801701,3,2
2026-08-21T00:30:45.810034,3,2
