time,globals.tick
2026-05-06T20:26:46.884738,0
2026-05-06T20:26:46.892500,1
2026-05-06T20:26:46.900833,2
2026-05-06T20:26:46.909166,3
2026-05-06T20:26:46.917499,4
2026-05-06T20:26:46.925832,5
2026-05-06T20:26:46.934165,6
2026-05-06T20:26:46.942498,7
2026-05-06T20:26:46.950831,8
2026-05-06T20:26:46.959164,9
2026-05-06T20:26:46.967497,10
2026-05-06T20:26:46.975830,11
2026-05-06T20:26:46.984163,12
2026-05-06T20:26:46.992496,13
2026-05-06T20:26:47.000829,14
2026-05-06T20:26:47.009162,15
2026-05-06T20:26:47.017495,16
2026-05-06T20:26:47.025828,17
2026-05-06T20:26:47.034161,18
2026-05-06T20:26:47.042494,19
2026-05-06T20:26:47.050827,20
2026-05-06T20:26:47.059160,21
2026-05-06T20:26:47.067493,22
2026-05-06T20:26:47.075826,23
2026-05-06T20:26:47.084159,24
2026-05-06T20:26:47.092492,25
2026-05-06T20:26:47.100825,26
2026-05-06T20:26:47.109158,27
2026-05-06T20:26:47.117491,28
2026-05-06T20:26:47.125824,29
2026-05-06T20:26:47.134157,30
2026-05-06T20:26:47.142490,31
2026-05-06T20:26:47.150823,32
2026-05-06T20:26:47.159156,33
2026-05-06T20:26:47.167489,34
2026-05-06T20:26:47.175822,35
2026-05-06T20:26:47.184155,36
2026-05-06T20:26:47.192488,37
2026-05-06T20:26:47.200821,38
2026-05-06T20:26:47.209154,39
2026-05-06T20:26:47.217487,40
2026-05-06T20:26:47.225820,41
2026-05-06T20:26:47.234153,42
2026-05-06T20:26:47.242486,43
2026-05-06T20:26:47.250819,44
2026-05-06T20:26:47.259152,45
2026-05-06T20:26:47.267485,46
2026-05-06T20:26:47.275818,47
2026-05-06T20:26:47.284151,48
2026-05-06T20:26:47.292484,49
2026-05-06T20:26:47.300817,50
2026-05-06T20:26:47.309150,51
2026-05-06T20:26:47.317483,52
2026-05-06T20:26:47.325816,53
2026-05-06T20:26:47.334149,54
2026-05-06T20:26:47.342482,55
2026-05-06T20:26:47.350815,56
2026-05-06T20:26:47.359148,57
2026-05-06T20:26:47.367481,58
2026-05-06T20:26:47.375814,59
2026-05-06T20:26:47.384147,60
2026-05-06T20:26:47.392480,61
2026-05-06T20:26:47.400813,62
2026-05-06T20:26:47.409146,63
2026-05-06T20:26:47.417479,64
2026-05-06T20:26:47.425812,65
2026-05-06T20:26:47.434145,66
2026-05-06T20:26:47.442478,67
2026-05-06T20:26:47.450811,68
2026-05-06T20:26:47.459144,69
2026-05-06T20:26:47.467477,70
2026-05-06T20:26:47.475810,71
2026-05-06T20:26:47.484143,72
2026-05-06T20:26:47.492476,73
2026-05-06T20:26:47.500809,74
2026-05-06T20:26:47.509142,75
2026-05-06T20:26:47.517475,76
2026-05-06T20:26:47.525808,77
2026-05-06T20:26:47.534141,78
2026-05-06T20:26:47.542474,79
2026-05-06T20:26:47.550807,80
2026-05-06T20:26:47.559140,81
2026-05-06T20:26:47.567473,82
2026-05-06T20:26:47.575806,83
2026-05-06T20:26:47.584139,84
2026-05-06T20:26:47.592472,85
2026-05-06T20:26:47.600805,86
2026-05-06T20:26:47.609138,87
2026-05-06T20:26:47.617471,88
2026-05-06T20:26:47.625804,89
2026-05-06T20:26:47.634137,90
2026-05-06T20:26:47.642470,91
2026-05-06T20:26:47.650803,92
2026-05-06T20:26:47.659136,93
2026-05-06T20:26:47.667469,94
2026-05-06T20:26:47.675802,95
2026-05-06T20:26:47.684135,96
2026-05-06T20:26:47.692468,97
2026-05-06T20:26:47.700801,98
2026-05-06T20:26:47.709134,99
2026-05-06T20:26:47.717467,100
